dataset,candidate,split,bucket,paired_markets,candidate_wins,v2_wins,candidate_accuracy,v2_accuracy,candidate_net_pnl_cents,v2_net_pnl_cents,candidate_minus_v2_cents,mean_candidate_minus_v2_cents
current,score_min60_gap020,train,all_pairs,173,131,111,0.7572254335260116,0.6416184971098265,844.0,415.0,429.0,2.479768786127168
current,score_min60_gap020,train,same_side,123,96,96,0.7804878048780488,0.7804878048780488,865.0,1671.0,-806.0,-6.5528455284552845
current,score_min60_gap020,train,disagree,50,35,15,0.7,0.3,-21.0,-1256.0,1235.0,24.7
current,score_min60_gap020,validation,all_pairs,58,46,38,0.7931034482758621,0.6551724137931034,453.0,183.0,270.0,4.655172413793103
current,score_min60_gap020,validation,same_side,44,35,35,0.7954545454545454,0.7954545454545454,353.0,658.0,-305.0,-6.931818181818182
current,score_min60_gap020,validation,disagree,14,11,3,0.7857142857142857,0.21428571428571427,100.0,-475.0,575.0,41.07142857142857
current,score_min60_gap020,holdout,all_pairs,59,44,34,0.7457627118644068,0.576271186440678,97.0,-468.0,565.0,9.576271186440678
current,score_min60_gap020,holdout,same_side,49,34,34,0.6938775510204082,0.6938775510204082,-188.0,76.0,-264.0,-5.387755102040816
current,score_min60_gap020,holdout,disagree,10,10,0,1.0,0.0,285.0,-544.0,829.0,82.9
v21,book_margin,all,all_pairs,219,156,149,0.7123287671232876,0.680365296803653,425.0,1283.0,-858.0,-3.9178082191780823
v21,book_margin,all,same_side,162,124,124,0.7654320987654321,0.7654320987654321,1177.0,1834.0,-657.0,-4.055555555555555
v21,book_margin,all,disagree,57,32,25,0.5614035087719298,0.43859649122807015,-752.0,-551.0,-201.0,-3.526315789473684
v21,book_margin,train,all_pairs,131,90,87,0.6870229007633588,0.6641221374045801,-80.0,571.0,-651.0,-4.969465648854962
v21,book_margin,train,same_side,96,71,71,0.7395833333333334,0.7395833333333334,423.0,830.0,-407.0,-4.239583333333333
v21,book_margin,train,disagree,35,19,16,0.5428571428571428,0.45714285714285713,-503.0,-259.0,-244.0,-6.9714285714285715
v21,book_margin,validation,all_pairs,44,32,28,0.7272727272727273,0.6363636363636364,212.0,92.0,120.0,2.727272727272727
v21,book_margin,validation,same_side,32,24,24,0.75,0.75,235.0,341.0,-106.0,-3.3125
v21,book_margin,validation,disagree,12,8,4,0.6666666666666666,0.3333333333333333,-23.0,-249.0,226.0,18.833333333333332
v21,book_margin,holdout,all_pairs,44,34,34,0.7727272727272727,0.7727272727272727,293.0,620.0,-327.0,-7.431818181818182
v21,book_margin,holdout,same_side,34,29,29,0.8529411764705882,0.8529411764705882,519.0,663.0,-144.0,-4.235294117647059
v21,book_margin,holdout,disagree,10,5,5,0.5,0.5,-226.0,-43.0,-183.0,-18.3
v21,book_margin_early,all,all_pairs,208,151,142,0.7259615384615384,0.6826923076923077,719.0,1209.0,-490.0,-2.355769230769231
v21,book_margin_early,all,same_side,157,121,121,0.7707006369426752,0.7707006369426752,1236.0,1819.0,-583.0,-3.713375796178344
