entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts,entry_dt_utc,trade_negative,settled_loss,feature_event_dt_utc,feature_market,feature_side,feature_p_side,feature_edge_cents,feature_raw_edge_cents,feature_net_edge_cents,feature_ask_cents,feature_fair_side_cents,feature_seconds_to_close,feature_d_sigma,feature_abs_d_sigma,feature_sigma_t_dollars,feature_btc_age_ms,feature_eligible_depth,feature_book_age_ms,feature_btc_price,feature_strike,feature_match_abs_diff_seconds,p_side,edge_cents,raw_edge_cents,net_edge_cents,ask_cents,fair_side_cents,seconds_to_close,d_sigma,abs_d_sigma,sigma_t_dollars,btc_age_ms,eligible_depth,book_age_ms,matched_v28_approval,split
2026-04-30 22:17:02,KXBTC15M-26APR302230-30,yes,2,69,69,,69,0,0.0,1.38,2026-04-30 22:17:32,63.0,63.0,,63.0,0,1.26,exited_before_settlement,bot_exit_signal,,-0.12,-0.12,-8.6957,-8.6957,,,,2026-05-01 02:17:02+00:00,True,False,2026-05-01 02:17:02.389300+00:00,KXBTC15M-26APR302230-30,yes,0.866168,14.116814,16.116814,14.116814,69.0,86.616814,777.636,-0.926273,0.926273,75.301755,406.0,22.92,422.0,76694.82,76652.0,0.3893,0.866168,14.116814,16.116814,14.116814,69.0,86.616814,777.636,-0.926273,0.926273,75.301755,406.0,22.92,422.0,True,train
2026-04-30 22:19:55,KXBTC15M-26APR302230-30,no,2,80,80,,80,0,0.0,1.6,2026-04-30 22:21:01,86.0,86.0,,86.0,0,1.72,exited_before_settlement,bot_exit_signal,,0.12,0.12,7.5,7.5,,,,2026-05-01 02:19:55+00:00,False,False,2026-05-01 02:19:55.199221+00:00,KXBTC15M-26APR302230-30,no,0.857255,2.225544,4.225544,2.225544,80.0,85.725544,604.81,0.911231,0.911231,67.161877,0.0,103.0,250.0,76590.8,76652.0,0.199221,0.857255,2.225544,4.225544,2.225544,80.0,85.725544,604.81,0.911231,0.911231,67.161877,0.0,103.0,250.0,True,train
2026-04-30 22:21:31,KXBTC15M-26APR302230-30,no,2,85,85,,85,0,0.0,1.7,2026-04-30 22:24:03,88.0,88.0,,88.0,0,1.76,exited_before_settlement,bot_exit_signal,,0.06,0.06,3.5294,3.5294,,,,2026-05-01 02:21:31+00:00,False,False,2026-05-01 02:21:31.380701+00:00,KXBTC15M-26APR302230-30,no,0.903024,2.302384,4.302384,2.302384,85.0,90.302384,508.631,1.142556,1.142556,62.307656,781.0,328.76,422.0,76580.81,76652.0,0.380701,0.903024,2.302384,4.302384,2.302384,85.0,90.302384,508.631,1.142556,1.142556,62.307656,781.0,328.76,422.0,True,train
2026-04-30 22:32:50,KXBTC15M-26APR302245-45,no,2,80,80,,80,0,0.0,1.6,2026-04-30 22:34:05,82.0,82.0,,82.0,0,1.64,exited_before_settlement,bot_exit_signal,,0.04,0.04,2.5,2.5,,,,2026-05-01 02:32:50+00:00,False,False,2026-05-01 02:32:50.643985+00:00,KXBTC15M-26APR302245-45,no,0.858747,2.374657,4.374657,2.374657,80.0,85.874657,729.368,0.915855,0.915855,75.535999,47.0,194.84,735.0,76534.09,76603.27,0.643985,0.858747,2.374657,4.374657,2.374657,80.0,85.874657,729.368,0.915855,0.915855,75.535999,47.0,194.84,735.0,True,train
2026-04-30 23:16:08,KXBTC15M-26APR302330-30,yes,2,78,78,,78,0,0.0,1.56,2026-04-30 23:16:39,77.0,77.0,,77.0,0,1.54,exited_before_settlement,bot_exit_signal,,-0.02,-0.02,-1.2821,-1.2821,,,,2026-05-01 03:16:08+00:00,True,False,2026-05-01 03:16:08.144958+00:00,KXBTC15M-26APR302330-30,yes,0.855738,4.073803,6.073803,4.073803,78.0,85.573803,831.868,-0.882607,0.882607,79.389795,156.0,1468.47,16.0,76713.63,76668.47,0.144958,0.855738,4.073803,6.073803,4.073803,78.0,85.573803,831.868,-0.882607,0.882607,79.389795,156.0,1468.47,16.0,True,train
2026-04-30 23:17:01,KXBTC15M-26APR302330-30,yes,2,85,85,,85,0,0.0,1.7,,,,,,0,,win,kalshi_api,yes,0.3,0.3,17.6471,17.6471,finalized,yes,2026-05-01T03:30:16.755Z,2026-05-01 03:17:01+00:00,False,False,2026-05-01 03:17:01.368926+00:00,KXBTC15M-26APR302330-30,yes,0.912419,3.241861,5.241861,3.241861,85.0,91.241861,778.631,-1.13897,1.13897,75.972146,484.0,610.55,234.0,76732.56,76668.47,0.368926,0.912419,3.241861,5.241861,3.241861,85.0,91.241861,778.631,-1.13897,1.13897,75.972146,484.0,610.55,234.0,True,train
2026-05-01 00:13:03,KXBTC15M-26MAY010015-15,yes,2,61,61,,61,0,0.0,1.22,2026-05-01 00:13:34,81.0,81.0,,81.0,0,1.62,exited_before_settlement,bot_exit_signal,,0.4,0.4,32.7869,32.7869,,,,2026-05-01 04:13:03+00:00,False,False,2026-05-01 04:13:03.331621+00:00,KXBTC15M-26MAY010015-15,yes,0.873887,22.388745,24.388745,22.388745,61.0,87.388745,116.681,-0.990681,0.990681,41.315007,32.0,434.14,141.0,77101.18,77099.09,0.331621,0.873887,22.388745,24.388745,22.388745,61.0,87.388745,116.681,-0.990681,0.990681,41.315007,32.0,434.14,141.0,True,train
2026-05-01 01:05:03,KXBTC15M-26MAY010115-15,yes,2,82,82,,82,0,0.0,1.64,2026-05-01 01:07:11,93.0,93.0,,93.0,0,1.86,exited_before_settlement,bot_exit_signal,,0.22,0.22,13.4146,13.4146,,,,2026-05-01 05:05:03+00:00,False,False,2026-05-01 05:05:03.724405+00:00,KXBTC15M-26MAY010115-15,yes,0.889057,3.405742,5.405742,3.405742,82.0,88.905742,596.288,-1.008804,1.008804,100.039249,171.0,70.99,562.0,77089.1,77018.24,0.724405,0.889057,3.405742,5.405742,3.405742,82.0,88.905742,596.288,-1.008804,1.008804,100.039249,171.0,70.99,562.0,True,train
2026-05-01 01:55:07,KXBTC15M-26MAY010200-00,yes,2,80,80,,80,0,0.0,1.6,2026-05-01 01:55:38,84.0,84.0,,84.0,0,1.68,exited_before_settlement,bot_exit_signal,,0.08,0.08,5.0,5.0,,,,2026-05-01 05:55:07+00:00,False,False,2026-05-01 05:55:06.991791+00:00,KXBTC15M-26MAY010200-00,yes,0.882247,4.724656,6.724656,4.724656,80.0,88.224656,293.013,-0.994426,0.994426,70.130899,234.0,17.73,953.0,77133.81,77097.32,0.008209,0.882247,4.724656,6.724656,4.724656,80.0,88.224656,293.013,-0.994426,0.994426,70.130899,234.0,17.73,953.0,True,train
2026-05-01 01:57:05,KXBTC15M-26MAY010200-00,yes,2,79,79,,79,0,0.0,1.58,2026-05-01 01:57:36,88.0,88.0,,88.0,0,1.76,exited_before_settlement,bot_exit_signal,,0.18,0.18,11.3924,11.3924,,,,2026-05-01 05:57:05+00:00,False,False,2026-05-01 05:57:05.236764+00:00,KXBTC15M-26MAY010200-00,yes,0.86034,3.534036,5.534036,3.534036,79.0,86.034036,174.779,-0.910787,0.910787,54.183884,750.0,92.82,188.0,77117.12,77097.32,0.236764,0.86034,3.534036,5.534036,3.534036,79.0,86.034036,174.779,-0.910787,0.910787,54.183884,750.0,92.82,188.0,True,train
