model,min_edge_cents,split,resolved_markets,selected_markets,coverage,wins,losses,accuracy,gross_net_cents,cost_cents,roi,avg_selected_edge_cents,avg_ask_cents
v31_probability,0.0,all,330,330,1.0,143,187,0.43333333333333335,-598.0,14898.0,-0.04013961605584642,7.2494388215384005,45.14545454545455
v31_probability,0.0,train,198,198,1.0,84,114,0.42424242424242425,-636.0,9036.0,-0.0703851261620186,7.213549726907826,45.63636363636363
v31_probability,0.0,validation,66,66,1.0,35,31,0.5303030303030303,500.0,3000.0,0.16666666666666666,7.460641408598698,45.45454545454545
v31_probability,0.0,holdout,66,66,1.0,24,42,0.36363636363636365,-462.0,2862.0,-0.16142557651991615,7.145903518369822,43.36363636363637
v31_probability,1.0,all,330,329,0.996969696969697,141,188,0.42857142857142855,-691.0,14791.0,-0.04671759853965249,7.709366406584618,44.95744680851064
v31_probability,1.0,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-866.0,8966.0,-0.0965871068480928,7.624595772515391,45.51269035532995
v31_probability,1.0,validation,66,66,1.0,35,31,0.5303030303030303,529.0,2971.0,0.17805452709525413,7.983931422736632,45.015151515151516
v31_probability,1.0,holdout,66,66,1.0,25,41,0.3787878787878788,-354.0,2854.0,-0.12403644008409251,7.687828889093773,43.24242424242424
v31_probability,2.0,all,330,329,0.996969696969697,139,190,0.42249240121580545,-694.0,14594.0,-0.04755378922845005,8.280563597398084,44.358662613981764
v31_probability,2.0,train,198,197,0.9949494949494949,78,119,0.39593908629441626,-1011.0,8811.0,-0.11474293496765407,8.331485500413034,44.7258883248731
v31_probability,2.0,validation,66,66,1.0,34,32,0.5151515151515151,437.0,2963.0,0.14748565642929462,8.286465031779375,44.89393939393939
v31_probability,2.0,holdout,66,66,1.0,27,39,0.4090909090909091,-120.0,2820.0,-0.0425531914893617,8.122667997957008,42.72727272727273
v31_probability,2.25,all,330,329,0.996969696969697,142,187,0.4316109422492401,-329.0,14529.0,-0.022644366439534724,8.479855545854344,44.161094224924014
v31_probability,2.25,train,198,197,0.9949494949494949,84,113,0.4263959390862944,-396.0,8796.0,-0.045020463847203276,8.46661339732451,44.6497461928934
v31_probability,2.25,validation,66,66,1.0,32,34,0.48484848484848486,285.0,2915.0,0.09777015437392796,8.727115761794929,44.166666666666664
v31_probability,2.25,holdout,66,66,1.0,26,40,0.3939393939393939,-218.0,2818.0,-0.0773598296664301,8.272121136889178,42.696969696969695
v31_probability,2.5,all,330,329,0.996969696969697,143,186,0.43465045592705165,-182.0,14482.0,-0.012567324955116697,8.623749490094172,44.01823708206687
v31_probability,2.5,train,198,197,0.9949494949494949,85,112,0.43147208121827413,-263.0,8763.0,-0.030012552778728746,8.621836665243354,44.48223350253807
v31_probability,2.5,validation,66,66,1.0,32,34,0.48484848484848486,299.0,2901.0,0.10306790761806274,8.887046428781051,43.95454545454545
v31_probability,2.5,holdout,66,66,1.0,26,40,0.3939393939393939,-218.0,2818.0,-0.0773598296664301,8.366162043765033,42.696969696969695
v31_probability,2.75,all,330,329,0.996969696969697,139,190,0.42249240121580545,-533.0,14433.0,-0.03692925933624333,8.75207394209188,43.869300911854104
v31_probability,2.75,train,198,197,0.9949494949494949,82,115,0.41624365482233505,-539.0,8739.0,-0.06167753747568372,8.777575305299793,44.36040609137056
v31_probability,2.75,validation,66,66,1.0,32,34,0.48484848484848486,299.0,2901.0,0.10306790761806274,8.887046428781051,43.95454545454545
v31_probability,2.75,holdout,66,66,1.0,25,41,0.3787878787878788,-293.0,2793.0,-0.10490511994271393,8.540983750070001,42.31818181818182
v31_probability,3.0,all,330,329,0.996969696969697,138,191,0.4194528875379939,-566.0,14366.0,-0.03939857998050954,8.957379179585843,43.66565349544073
v31_probability,3.0,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-583.0,8683.0,-0.06714269261775883,9.075241733845003,44.076142131979694
v31_probability,3.0,validation,66,66,1.0,32,34,0.48484848484848486,306.0,2894.0,0.10573600552868002,8.990862210940591,43.84848484848485
v31_probability,3.0,holdout,66,66,1.0,25,41,0.3787878787878788,-289.0,2789.0,-0.10362136966654716,8.572094281730273,42.25757575757576
