model,min_edge_cents,split,resolved_markets,selected_markets,coverage,wins,losses,accuracy,gross_net_cents,cost_cents,roi,avg_selected_edge_cents,avg_ask_cents
v31_probability,3.25,all,330,329,0.996969696969697,137,192,0.41641337386018235,-620.0,14320.0,-0.04329608938547486,9.082647582386729,43.525835866261396
v31_probability,3.25,train,198,197,0.9949494949494949,80,117,0.40609137055837563,-664.0,8664.0,-0.07663896583564174,9.14805671883274,43.97969543147208
v31_probability,3.25,validation,66,66,1.0,32,34,0.48484848484848486,324.0,2876.0,0.11265646731571627,9.268345676605252,43.57575757575758
v31_probability,3.25,holdout,66,66,1.0,25,41,0.3787878787878788,-280.0,2780.0,-0.10071942446043165,8.70171312635208,42.121212121212125
v31_probability,3.5,all,330,329,0.996969696969697,132,197,0.4012158054711246,-1052.0,14252.0,-0.07381420151557676,9.317793203069474,43.319148936170215
v31_probability,3.5,train,198,197,0.9949494949494949,76,121,0.38578680203045684,-1018.0,8618.0,-0.11812485495474588,9.39687239301829,43.746192893401016
v31_probability,3.5,validation,66,66,1.0,31,35,0.4696969696969697,237.0,2863.0,0.08278030038421237,9.658070649476512,43.378787878787875
v31_probability,3.5,holdout,66,66,1.0,25,41,0.3787878787878788,-271.0,2771.0,-0.09779862865391556,8.741476356360671,41.984848484848484
v31_probability,5.0,all,330,329,0.996969696969697,126,203,0.3829787234042553,-1201.0,13801.0,-0.0870226795159771,10.720332910996527,41.9483282674772
v31_probability,5.0,train,198,197,0.9949494949494949,74,123,0.3756345177664975,-922.0,8322.0,-0.11079067531843306,10.564292810444364,42.243654822335024
v31_probability,5.0,validation,66,66,1.0,28,38,0.42424242424242425,26.0,2774.0,0.009372746935832732,11.406927890071543,42.03030303030303
v31_probability,5.0,holdout,66,66,1.0,24,42,0.36363636363636365,-305.0,2705.0,-0.11275415896487985,10.49949398963024,40.984848484848484
v31_probability,7.0,all,330,329,0.996969696969697,124,205,0.3768996960486322,-734.0,13134.0,-0.055885488046292064,12.331540304973213,39.9209726443769
v31_probability,7.0,train,198,197,0.9949494949494949,73,124,0.37055837563451777,-634.0,7934.0,-0.0799092513234182,12.188448077265052,40.2741116751269
v31_probability,7.0,validation,66,66,1.0,25,41,0.3787878787878788,-133.0,2633.0,-0.050512723129510065,13.230796976775565,39.89393939393939
v31_probability,7.0,holdout,66,66,1.0,26,40,0.3939393939393939,33.0,2567.0,0.012855473315153876,11.859392252239163,38.89393939393939
v31_probability,10.0,all,330,329,0.996969696969697,113,216,0.3434650455927052,-949.0,12249.0,-0.07747571230304515,14.759525808135788,37.23100303951368
v31_probability,10.0,train,198,197,0.9949494949494949,67,130,0.3401015228426396,-672.0,7372.0,-0.09115572436245252,14.70853991012491,37.421319796954315
v31_probability,10.0,validation,66,66,1.0,22,44,0.3333333333333333,-312.0,2512.0,-0.12420382165605096,14.781534748498915,38.06060606060606
v31_probability,10.0,holdout,66,66,1.0,24,42,0.36363636363636365,35.0,2365.0,0.014799154334038054,14.889702048199073,35.833333333333336
v32_probability,0.0,all,330,330,1.0,143,187,0.43333333333333335,-647.0,14947.0,-0.04328627818291296,7.231123867658283,45.2939393939394
v32_probability,0.0,train,198,198,1.0,85,113,0.4292929292929293,-552.0,9052.0,-0.06098099867432612,7.228441109177267,45.717171717171716
v32_probability,0.0,validation,66,66,1.0,34,32,0.5151515151515151,367.0,3033.0,0.12100230794592813,7.319697580050754,45.95454545454545
v32_probability,0.0,holdout,66,66,1.0,24,42,0.36363636363636365,-462.0,2862.0,-0.16142557651991615,7.150598430708864,43.36363636363637
v32_probability,1.0,all,330,329,0.996969696969697,141,188,0.42857142857142855,-697.0,14797.0,-0.04710414273163479,7.759496547209502,44.97568389057751
v32_probability,1.0,train,198,197,0.9949494949494949,82,115,0.41624365482233505,-764.0,8964.0,-0.08522980812137439,7.693769855838933,45.50253807106599
v32_probability,1.0,validation,66,66,1.0,34,32,0.5151515151515151,421.0,2979.0,0.14132259147364887,8.01978486896469,45.13636363636363
v32_probability,1.0,holdout,66,66,1.0,25,41,0.3787878787878788,-354.0,2854.0,-0.12403644008409251,7.695392440605863,43.24242424242424
v32_probability,2.0,all,330,329,0.996969696969697,139,190,0.42249240121580545,-694.0,14594.0,-0.04755378922845005,8.300577235019079,44.358662613981764
v32_probability,2.0,train,198,197,0.9949494949494949,78,119,0.39593908629441626,-1011.0,8811.0,-0.11474293496765407,8.354255910450915,44.7258883248731
v32_probability,2.0,validation,66,66,1.0,34,32,0.5151515151515151,437.0,2963.0,0.14748565642929462,8.312571235697536,44.89393939393939
v32_probability,2.0,holdout,66,66,1.0,27,39,0.4090909090909091,-120.0,2820.0,-0.0425531914893617,8.128360521309233,42.72727272727273
v32_probability,2.25,all,330,329,0.996969696969697,142,187,0.4316109422492401,-323.0,14523.0,-0.022240583901397784,8.518009988238608,44.142857142857146
v32_probability,2.25,train,198,197,0.9949494949494949,84,113,0.4263959390862944,-396.0,8796.0,-0.045020463847203276,8.490020827908767,44.6497461928934
v32_probability,2.25,validation,66,66,1.0,32,34,0.48484848484848486,285.0,2915.0,0.09777015437392796,8.75162914716538,44.166666666666664
v32_probability,2.25,holdout,66,66,1.0,26,40,0.3939393939393939,-212.0,2812.0,-0.07539118065433854,8.367934232114548,42.60606060606061
v32_probability,2.5,all,330,329,0.996969696969697,144,185,0.4376899696048632,-84.0,14484.0,-0.00579950289975145,8.634663983459014,44.02431610942249
v32_probability,2.5,train,198,197,0.9949494949494949,85,112,0.43147208121827413,-263.0,8763.0,-0.030012552778728746,8.644739752965728,44.48223350253807
v32_probability,2.5,validation,66,66,1.0,33,33,0.5,390.0,2910.0,0.13402061855670103,8.850646267713335,44.09090909090909
v32_probability,2.5,holdout,66,66,1.0,26,40,0.3939393939393939,-211.0,2811.0,-0.07506225542511562,8.388607053858902,42.59090909090909
v32_probability,2.75,all,330,329,0.996969696969697,138,191,0.4194528875379939,-621.0,14421.0,-0.0430622009569378,8.864980847618162,43.83282674772037
v32_probability,2.75,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-618.0,8718.0,-0.07088781830695114,8.966606665053225,44.253807106598984
v32_probability,2.75,validation,66,66,1.0,32,34,0.48484848484848486,299.0,2901.0,0.10306790761806274,8.910768674360614,43.95454545454545
v32_probability,2.75,holdout,66,66,1.0,25,41,0.3787878787878788,-302.0,2802.0,-0.10778015703069237,8.515855353683165,42.45454545454545
v32_probability,3.0,all,330,329,0.996969696969697,138,191,0.4194528875379939,-557.0,14357.0,-0.03879640593438741,9.005396420223382,43.638297872340424
v32_probability,3.0,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-583.0,8683.0,-0.06714269261775883,9.102227188034579,44.076142131979694
v32_probability,3.0,validation,66,66,1.0,32,34,0.48484848484848486,306.0,2894.0,0.10573600552868002,9.014640509062335,43.84848484848485
v32_probability,3.0,holdout,66,66,1.0,25,41,0.3787878787878788,-280.0,2780.0,-0.10071942446043165,8.707127160796462,42.121212121212125
v32_probability,3.25,all,330,329,0.996969696969697,137,192,0.41641337386018235,-618.0,14318.0,-0.04316245285654421,9.111031240851302,43.51975683890578
v32_probability,3.25,train,198,197,0.9949494949494949,80,117,0.40609137055837563,-662.0,8662.0,-0.07642576772108058,9.18524429931459,43.96954314720812
v32_probability,3.25,validation,66,66,1.0,32,34,0.48484848484848486,324.0,2876.0,0.11265646731571627,9.292143051080785,43.57575757575758
v32_probability,3.25,holdout,66,66,1.0,25,41,0.3787878787878788,-280.0,2780.0,-0.10071942446043165,8.708404695511698,42.121212121212125
v32_probability,3.5,all,330,329,0.996969696969697,132,197,0.4012158054711246,-1038.0,14238.0,-0.07290349768225875,9.361522597888577,43.276595744680854
v32_probability,3.5,train,198,197,0.9949494949494949,76,121,0.38578680203045684,-1018.0,8618.0,-0.11812485495474588,9.424309686734723,43.746192893401016
v32_probability,3.5,validation,66,66,1.0,31,35,0.4696969696969697,237.0,2863.0,0.08278030038421237,9.683819627979268,43.378787878787875
v32_probability,3.5,holdout,66,66,1.0,25,41,0.3787878787878788,-257.0,2757.0,-0.09321726514327167,8.85181562078742,41.77272727272727
v32_probability,5.0,all,330,329,0.996969696969697,126,203,0.3829787234042553,-1227.0,13827.0,-0.08873942286830115,10.663599490109192,42.027355623100306
v32_probability,5.0,train,198,197,0.9949494949494949,74,123,0.3756345177664975,-927.0,8327.0,-0.11132460670109283,10.567042276880246,42.26903553299493
v32_probability,5.0,validation,66,66,1.0,28,38,0.42424242424242425,26.0,2774.0,0.009372746935832732,11.43527476957167,42.03030303030303
v32_probability,5.0,holdout,66,66,1.0,24,42,0.36363636363636365,-326.0,2726.0,-0.11958914159941306,10.180132862254322,41.303030303030305
v32_probability,7.0,all,330,329,0.996969696969697,125,204,0.3799392097264438,-650.0,13150.0,-0.049429657794676805,12.332314972276361,39.96960486322188
v32_probability,7.0,train,198,197,0.9949494949494949,73,124,0.37055837563451777,-634.0,7934.0,-0.0799092513234182,12.211472045943871,40.2741116751269
v32_probability,7.0,validation,66,66,1.0,26,40,0.3939393939393939,-49.0,2649.0,-0.01849754624386561,13.159266405628104,40.13636363636363
v32_probability,7.0,holdout,66,66,1.0,26,40,0.3939393939393939,33.0,2567.0,0.012855473315153876,11.866061364492811,38.89393939393939
v32_probability,10.0,all,330,328,0.9939393939393939,113,215,0.3445121951219512,-917.0,12217.0,-0.07505934353769338,14.81394397593022,37.2469512195122
v32_probability,10.0,train,198,196,0.98989898989899,67,129,0.34183673469387754,-634.0,7334.0,-0.08644668666484866,14.805195841224021,37.41836734693877
v32_probability,10.0,validation,66,66,1.0,22,44,0.3333333333333333,-312.0,2512.0,-0.12420382165605096,14.813090985408081,38.06060606060606
v32_probability,10.0,holdout,66,66,1.0,24,42,0.36363636363636365,29.0,2371.0,0.012231126107127795,14.840776275579866,35.92424242424242
v33_probability,0.0,all,330,330,1.0,146,184,0.44242424242424244,-343.0,14943.0,-0.022953891454192597,7.257992650176989,45.28181818181818
v33_probability,0.0,train,198,198,1.0,85,113,0.4292929292929293,-537.0,9037.0,-0.05942237468186345,7.014955029032414,45.64141414141414
v33_probability,0.0,validation,66,66,1.0,38,28,0.5757575757575758,768.0,3032.0,0.2532981530343008,7.750110440641319,45.93939393939394
v33_probability,0.0,holdout,66,66,1.0,23,43,0.3484848484848485,-574.0,2874.0,-0.19972164231036882,7.494987723146384,43.54545454545455
v33_probability,1.0,all,330,329,0.996969696969697,143,186,0.43465045592705165,-543.0,14843.0,-0.03658290103078892,7.845135966749274,45.11550151975684
v33_probability,1.0,train,198,197,0.9949494949494949,82,115,0.41624365482233505,-778.0,8978.0,-0.08665627088438405,7.5737914794179115,45.5736040609137
v33_probability,1.0,validation,66,66,1.0,37,29,0.5606060606060606,687.0,3013.0,0.2280119482243611,8.34641333692526,45.65151515151515
v33_probability,1.0,holdout,66,66,1.0,24,42,0.36363636363636365,-452.0,2852.0,-0.1584852734922861,8.153780778456307,43.21212121212121
v33_probability,2.0,all,330,329,0.996969696969697,145,184,0.44072948328267475,-142.0,14642.0,-0.009698128670946592,8.439918098378183,44.504559270516715
v33_probability,2.0,train,198,197,0.9949494949494949,84,113,0.4263959390862944,-449.0,8849.0,-0.05074019663238784,8.248464130421313,44.91878172588832
v33_probability,2.0,validation,66,66,1.0,36,30,0.5454545454545454,626.0,2974.0,0.2104909213180901,9.003449208094693,45.06060606060606
v33_probability,2.0,holdout,66,66,1.0,25,41,0.3787878787878788,-319.0,2819.0,-0.1131606952820149,8.447848074835973,42.71212121212121
v33_probability,2.25,all,330,329,0.996969696969697,146,183,0.44376899696048633,29.0,14571.0,0.0019902546153318236,8.545450231124716,44.2887537993921
v33_probability,2.25,train,198,197,0.9949494949494949,86,111,0.4365482233502538,-197.0,8797.0,-0.022393997953847902,8.36755736375091,44.65482233502538
v33_probability,2.25,validation,66,66,1.0,35,31,0.5303030303030303,545.0,2955.0,0.1844331641285956,9.174035643059524,44.77272727272727
v33_probability,2.25,holdout,66,66,1.0,25,41,0.3787878787878788,-319.0,2819.0,-0.1131606952820149,8.447848074835973,42.71212121212121
v33_probability,2.5,all,330,329,0.996969696969697,143,186,0.43465045592705165,-183.0,14483.0,-0.012635503693986052,8.715178056418619,44.02127659574468
v33_probability,2.5,train,198,197,0.9949494949494949,83,114,0.4213197969543147,-425.0,8725.0,-0.04871060171919771,8.563838434839955,44.28934010152284
v33_probability,2.5,validation,66,66,1.0,35,31,0.5303030303030303,545.0,2955.0,0.1844331641285956,9.174035643059524,44.77272727272727
v33_probability,2.5,holdout,66,66,1.0,25,41,0.3787878787878788,-303.0,2803.0,-0.1080984659293614,8.708046309944336,42.46969696969697
v33_probability,2.75,all,330,329,0.996969696969697,140,189,0.425531914893617,-406.0,14406.0,-0.028182701652089408,9.007435712433676,43.787234042553195
v33_probability,2.75,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-556.0,8656.0,-0.06423290203327171,8.943279892852617,43.93908629441624
v33_probability,2.75,validation,66,66,1.0,35,31,0.5303030303030303,564.0,2936.0,0.19209809264305178,9.469712032698322,44.484848484848484
v33_probability,2.75,holdout,66,66,1.0,24,42,0.36363636363636365,-414.0,2814.0,-0.14712153518123666,8.73665479303976,42.63636363636363
v33_probability,3.0,all,330,329,0.996969696969697,141,188,0.42857142857142855,-243.0,14343.0,-0.016942062330056473,9.139681562377902,43.59574468085106
v33_probability,3.0,train,198,197,0.9949494949494949,82,115,0.41624365482233505,-417.0,8617.0,-0.04839271208077057,9.0999677065096,43.74111675126903
v33_probability,3.0,validation,66,66,1.0,35,31,0.5303030303030303,567.0,2933.0,0.19331742243436753,9.515796856546952,44.43939393939394
v33_probability,3.0,holdout,66,66,1.0,24,42,0.36363636363636365,-393.0,2793.0,-0.14070891514500536,8.882106110724846,42.31818181818182
v33_probability,3.25,all,330,329,0.996969696969697,139,190,0.42249240121580545,-371.0,14271.0,-0.02599677667998038,9.342056979121354,43.37689969604863
v33_probability,3.25,train,198,197,0.9949494949494949,81,116,0.41116751269035534,-492.0,8592.0,-0.05726256983240224,9.271731490875789,43.61421319796954
v33_probability,3.25,validation,66,66,1.0,34,32,0.5151515151515151,484.0,2916.0,0.16598079561042525,9.607592352344179,44.18181818181818
v33_probability,3.25,holdout,66,66,1.0,24,42,0.36363636363636365,-363.0,2763.0,-0.13137893593919653,9.286432532934539,41.86363636363637
v33_probability,3.5,all,330,329,0.996969696969697,135,194,0.41033434650455924,-637.0,14137.0,-0.045059064865247224,9.56055674073497,42.96960486322188
v33_probability,3.5,train,198,197,0.9949494949494949,77,120,0.39086294416243655,-817.0,8517.0,-0.09592579546788775,9.519734006106392,43.233502538071065
v33_probability,3.5,validation,66,66,1.0,33,33,0.5,406.0,2894.0,0.1402902557014513,9.778519437699794,43.84848484848485
v33_probability,3.5,holdout,66,66,1.0,25,41,0.3787878787878788,-226.0,2726.0,-0.08290535583272193,9.464443721373634,41.303030303030305
v33_probability,5.0,all,330,329,0.996969696969697,131,198,0.3981762917933131,-645.0,13745.0,-0.04692615496544198,10.599708703140145,41.77811550151976
v33_probability,5.0,train,198,197,0.9949494949494949,76,121,0.38578680203045684,-688.0,8288.0,-0.08301158301158301,10.495929678899948,42.07106598984772
v33_probability,5.0,validation,66,66,1.0,32,34,0.48484848484848486,397.0,2803.0,0.1416339636104174,11.282263177083633,42.46969696969697
v33_probability,5.0,holdout,66,66,1.0,23,43,0.3484848484848485,-354.0,2654.0,-0.1333835719668425,10.226918892459066,40.21212121212121
v33_probability,7.0,all,330,329,0.996969696969697,124,205,0.3768996960486322,-729.0,13129.0,-0.055525934953157136,12.329820614016914,39.90577507598784
v33_probability,7.0,train,198,197,0.9949494949494949,71,126,0.3604060913705584,-862.0,7962.0,-0.10826425521225823,12.18866016065703,40.41624365482234
v33_probability,7.0,validation,66,66,1.0,30,36,0.45454545454545453,347.0,2653.0,0.13079532604598568,12.983589356434882,40.196969696969695
v33_probability,7.0,holdout,66,66,1.0,23,43,0.3484848484848485,-214.0,2514.0,-0.08512330946698489,12.097394436930722,38.09090909090909
v33_probability,10.0,all,330,329,0.996969696969697,112,217,0.3404255319148936,-1024.0,12224.0,-0.08376963350785341,14.60730416918637,37.15501519756839
v33_probability,10.0,train,198,197,0.9949494949494949,64,133,0.3248730964467005,-925.0,7325.0,-0.12627986348122866,14.599293320072901,37.18274111675127
v33_probability,10.0,validation,66,66,1.0,26,40,0.3939393939393939,73.0,2527.0,0.02888800949742778,14.790935642601088,38.28787878787879
v33_probability,10.0,holdout,66,66,1.0,22,44,0.3333333333333333,-172.0,2372.0,-0.07251264755480608,14.447583866610346,35.93939393939394
book_mid_probability,0.0,all,330,323,0.9787878787878788,100,223,0.30959752321981426,-376.0,10376.0,-0.036237471087124135,1.547987616804321e-06,32.12383900928793
book_mid_probability,0.0,train,198,192,0.9696969696969697,64,128,0.3333333333333333,-311.0,6711.0,-0.04634182685143794,2.0833333339924136e-06,34.953125
book_mid_probability,0.0,validation,66,66,1.0,20,46,0.30303030303030304,73.0,1927.0,0.03788271925272444,9.285501660501309e-16,29.196969696969695
book_mid_probability,0.0,holdout,66,65,0.9848484848484849,16,49,0.24615384615384617,-138.0,1738.0,-0.07940161104718067,1.538461539076431e-06,26.73846153846154
book_mid_probability,1.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,1.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,1.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,1.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.25,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.25,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.25,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.25,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.5,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.5,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.5,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.5,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.75,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.75,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.75,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,2.75,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.25,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.25,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.25,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.25,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.5,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.5,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.5,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,3.5,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,5.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,5.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,5.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,5.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,7.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,7.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,7.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,7.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,10.0,all,330,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,10.0,train,198,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,10.0,validation,66,0,0.0,0,0,,0.0,0.0,,,
book_mid_probability,10.0,holdout,66,0,0.0,0,0,,0.0,0.0,,,
book_platt,0.0,all,330,330,1.0,178,152,0.5393939393939394,-66.0,17866.0,-0.003694167692824359,1.0838935163962182,54.13939393939394
book_platt,0.0,train,198,198,1.0,102,96,0.5151515151515151,-418.0,10618.0,-0.03936711245055566,1.060713621714824,53.62626262626262
book_platt,0.0,validation,66,66,1.0,37,29,0.5606060606060606,184.0,3516.0,0.05233219567690557,0.9609800458746958,53.27272727272727
book_platt,0.0,holdout,66,66,1.0,39,27,0.5909090909090909,168.0,3732.0,0.04501607717041801,1.2763466709619231,56.54545454545455
book_platt,1.0,all,330,329,0.996969696969697,205,124,0.6231003039513677,321.0,20179.0,0.015907626740670994,1.5210243505206635,61.33434650455927
book_platt,1.0,train,198,197,0.9949494949494949,118,79,0.5989847715736041,-173.0,11973.0,-0.014449177315626827,1.4930619222847406,60.776649746192895
book_platt,1.0,validation,66,66,1.0,43,23,0.6515151515151515,173.0,4127.0,0.04191906954204022,1.503070587392396,62.53030303030303
book_platt,1.0,holdout,66,66,1.0,44,22,0.6666666666666666,321.0,4079.0,0.07869575876440305,1.6224417252016095,61.803030303030305
book_platt,2.0,all,330,241,0.7303030303030303,165,76,0.6846473029045643,960.0,15540.0,0.06177606177606178,2.3125275265866168,64.48132780082987
book_platt,2.0,train,198,140,0.7070707070707071,96,44,0.6857142857142857,582.0,9018.0,0.06453759148369927,2.306333034801327,64.41428571428571
book_platt,2.0,validation,66,48,0.7272727272727273,32,16,0.6666666666666666,96.0,3104.0,0.030927835051546393,2.313553269652116,64.66666666666667
book_platt,2.0,holdout,66,53,0.803030303030303,37,16,0.6981132075471698,282.0,3418.0,0.08250438853130486,2.327961360224287,64.49056603773585
book_platt,2.25,all,330,228,0.6909090909090909,162,66,0.7105263157894737,726.0,15474.0,0.046917409848778596,2.5022652707470527,67.86842105263158
book_platt,2.25,train,198,131,0.6616161616161617,94,37,0.7175572519083969,535.0,8865.0,0.06034968979131416,2.497836048081365,67.67175572519083
book_platt,2.25,validation,66,46,0.696969696969697,31,15,0.6739130434782609,-64.0,3164.0,-0.020227560050568902,2.4898192050278403,68.78260869565217
book_platt,2.25,holdout,66,51,0.7727272727272727,37,14,0.7254901960784313,255.0,3445.0,0.07402031930333818,2.5248681568703635,67.54901960784314
book_platt,2.5,all,330,220,0.6666666666666666,159,61,0.7227272727272728,240.0,15660.0,0.01532567049808429,2.674090726148251,71.18181818181819
book_platt,2.5,train,198,125,0.6313131313131313,92,33,0.736,314.0,8886.0,0.03533648435741616,2.671625707157433,71.088
book_platt,2.5,validation,66,44,0.6666666666666666,30,14,0.6818181818181818,-159.0,3159.0,-0.050332383665717,2.6881898899573997,71.79545454545455
book_platt,2.5,holdout,66,51,0.7727272727272727,37,14,0.7254901960784313,85.0,3615.0,0.02351313969571231,2.6679684548982423,70.88235294117646
book_platt,2.75,all,330,185,0.5606060606060606,142,43,0.7675675675675676,246.0,13954.0,0.017629353590368352,2.7887105963408603,75.42702702702702
book_platt,2.75,train,198,108,0.5454545454545454,84,24,0.7777777777777778,270.0,8130.0,0.033210332103321034,2.7880719296979857,75.27777777777777
