policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,spot,margin_per_rv_sigma_15m,signed_velocity_dps_1m,signed_velocity_dps_3m,brownian_p_rv_15m,raw_p_yes,book_mid_p_yes,raw_selected_side,raw_selected_edge_cents,latent_hole_active,latent_disagreement_book_switch,recross_hazard_active,recross_side_margin_sigma15,recross_side_velocity_3m,thin_edge_certainty_active,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status,exit_yes_axis_margin_sigma15
v60_v55_bookanchor_hold15_prob52_noside_marginlte0p25_edge0_p65_stc0_600,KXBTC15M-26MAY050700-00,heartbeat:62405,2026-05-05 10:55:22.582000+00:00,2026-05-05 11:00:00+00:00,62405,no,97.0,1.160910294197123,0.9816091029419712,0.018390897058028766,80734.36,3.2443631726086535,0.3230000000000776,0.3551666666666279,0.9994114322179068,0.01839089705802873,0.035,no,1.160910294197123,False,False,False,3.2443631726086535,0.3551666666666279,False,2026-05-05 11:12:50.855044+00:00,2026-05-05 10:58:07.712000+00:00,45.0,0.4678692198681563,4.0,,,,-104.0,1.0,5.0,-109.0,-111.0,exited,0.08397606648840814
v60_v55_bookanchor_hold15_prob52_noside_marginlte0p25_edge0_p65_stc0_600,KXBTC15M-26MAY050715-15,heartbeat:62466,2026-05-05 11:09:08.649000+00:00,2026-05-05 11:15:00+00:00,62466,yes,63.0,2.4578497637202474,0.6545784976372024,0.6545784976372024,80852.48,-0.4302657174771356,-0.09599999999991268,-0.03194444444444444,0.33350118105735393,0.6545784976372024,0.625,yes,2.4578497637202474,False,False,False,0.4302657174771356,0.03194444444444444,False,2026-05-05 11:12:50.855044+00:00,,,,0.0,yes,2026-05-05 12:05:01.236257+00:00,True,74.0,4.0,4.0,70.0,68.0,settled,
v60_v55_bookanchor_hold15_prob52_noside_marginlte0p25_edge0_p65_stc0_600,KXBTC15M-26MAY050730-30,heartbeat:62521,2026-05-05 11:21:24.704000+00:00,2026-05-05 11:30:00+00:00,62521,no,79.0,1.5,0.805,0.19499999999999995,80837.38,0.6969521822679653,0.4139999999999418,0.21716666666664727,0.7570836402498653,0.12686308497281,0.215,no,8.31369150271901,False,False,False,0.6969521822679653,0.21716666666664727,False,2026-05-05 11:26:30.799987+00:00,,,,0.0,yes,2026-05-05 12:05:01.236257+00:00,False,-158.0,3.0,3.0,-161.0,-163.0,settled,
v60_v55_bookanchor_hold15_prob52_noside_marginlte0p25_edge0_p65_stc0_600,KXBTC15M-26MAY050745-45,heartbeat:62593,2026-05-05 11:35:11.058000+00:00,2026-05-05 11:45:00+00:00,62593,yes,67.0,0.471078258016675,0.6747107825801667,0.6747107825801667,81016.15,-0.9207801608777305,-0.808833333333314,-0.2563333333333301,0.17858260742221505,0.7901859222300429,0.66,yes,12.01859222300429,True,False,False,0.9207801608777305,0.2563333333333301,False,2026-05-05 11:38:05.655989+00:00,,,,0.0,yes,2026-05-05 12:05:01.236257+00:00,True,66.0,4.0,4.0,62.0,60.0,settled,
v60_v55_bookanchor_hold15_prob52_noside_marginlte0p25_edge0_p65_stc0_600,KXBTC15M-26MAY050800-00,heartbeat:62663,2026-05-05 11:51:12.163000+00:00,2026-05-05 12:00:00+00:00,62663,no,95.0,1.9553558830433957,0.9695535588304339,0.030446441169566074,80907.06,1.1225286504219607,1.7675000000000485,0.9090555555555814,0.869181133559332,0.03044644116956606,0.05,no,1.9553558830433957,False,False,False,1.1225286504219607,0.9090555555555814,False,2026-05-05 11:58:47.833408+00:00,,,,0.0,no,2026-05-05 12:05:01.236257+00:00,True,10.0,1.0,1.0,9.0,7.0,settled,
