model,entry_policy,exit_policy,trades,min_split_coverage,all_net_after_fees_1c_entry_dollars,min_split_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_entry_dollars,positive_1c_days,total_days,worst_1c_day_dollars,settled_count,exit_count,losses,block10_positive,block10_worst_dollars
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,take20_or_prob56,333,0.8133333333333334,-1.99,-2.0,0.41,-2.0,-0.4,2,5,-2.99,164,169,57,4,-4.33
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,take20_or_prob57,333,0.8133333333333334,-3.58,-3.58,-0.74,-1.61,-1.23,2,5,-3.18,164,169,57,4,-3.87
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,take20_or_prob60,333,0.8133333333333334,-3.49,-3.49,0.93,-1.66,-2.76,2,5,-1.55,162,171,57,3,-3.88
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair-2,333,0.8133333333333334,-14.85,-14.85,-5.63,-5.69,-3.53,0,5,-4.71,93,240,57,3,-3.62
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair-2_or_prob52,333,0.8133333333333334,-10.71,-10.71,-3.86,-4.66,-2.19,0,5,-3.12,87,246,57,3,-3.33
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair-2_or_prob54,333,0.8133333333333334,-10.45,-10.45,-3.6,-4.66,-2.19,0,5,-3.1,87,246,57,3,-3.27
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair-2_or_prob56,333,0.8133333333333334,-9.86,-9.86,-3.64,-4.23,-1.99,0,5,-3.1,87,246,57,3,-3.27
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair0,333,0.8133333333333334,-15.05,-15.05,-4.51,-5.42,-5.12,0,5,-4.32,6,327,57,1,-3.21
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair0_or_prob52,333,0.8133333333333334,-12.92,-12.92,-4.43,-4.98,-3.51,0,5,-4.14,4,329,57,2,-3.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair0_or_prob54,333,0.8133333333333334,-12.92,-12.92,-4.43,-4.98,-3.51,0,5,-4.14,4,329,57,2,-3.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair0_or_prob56,333,0.8133333333333334,-13.28,-13.28,-4.57,-5.4,-3.31,0,5,-4.14,4,329,57,2,-3.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair1,333,0.8133333333333334,-16.29,-16.29,-6.51,-5.88,-3.9,0,5,-4.91,0,333,57,0,-3.48
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair1_or_prob52,333,0.8133333333333334,-15.72,-15.72,-6.9,-5.61,-3.21,0,5,-4.68,0,333,57,0,-4.12
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair1_or_prob54,333,0.8133333333333334,-15.72,-15.72,-6.9,-5.61,-3.21,0,5,-4.68,0,333,57,0,-4.12
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair1_or_prob56,333,0.8133333333333334,-15.94,-15.94,-6.9,-6.03,-3.01,0,5,-4.68,0,333,57,0,-4.12
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair2,333,0.8133333333333334,-14.99,-14.99,-8.09,-4.03,-2.87,0,5,-4.43,0,333,57,0,-3.86
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair2_or_prob52,333,0.8133333333333334,-15.87,-15.87,-8.44,-4.3,-3.13,0,5,-5.07,0,333,57,0,-4.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair2_or_prob54,333,0.8133333333333334,-15.87,-15.87,-8.44,-4.3,-3.13,0,5,-5.07,0,333,57,0,-4.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair2_or_prob56,333,0.8133333333333334,-16.29,-16.29,-8.44,-4.72,-3.13,0,5,-5.07,0,333,57,0,-4.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair3,333,0.8133333333333334,-16.57,-16.57,-9.14,-4.53,-2.9,0,5,-4.28,0,333,57,0,-3.73
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair3_or_prob52,333,0.8133333333333334,-17.09,-17.09,-9.13,-4.8,-3.16,0,5,-4.56,0,333,57,0,-4.01
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair3_or_prob54,333,0.8133333333333334,-17.09,-17.09,-9.13,-4.8,-3.16,0,5,-4.56,0,333,57,0,-4.01
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair3_or_prob56,333,0.8133333333333334,-17.27,-17.27,-9.13,-4.98,-3.16,0,5,-4.56,0,333,57,0,-4.01
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair5,333,0.8133333333333334,-19.22,-19.22,-10.29,-5.39,-3.54,0,5,-4.93,0,333,57,0,-3.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair5_or_prob52,333,0.8133333333333334,-19.77,-19.77,-10.57,-5.66,-3.54,0,5,-5.21,0,333,57,0,-4.18
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair5_or_prob54,333,0.8133333333333334,-19.77,-19.77,-10.57,-5.66,-3.54,0,5,-5.21,0,333,57,0,-4.18
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,fair5_or_prob56,333,0.8133333333333334,-19.95,-19.95,-10.57,-5.84,-3.54,0,5,-5.21,0,333,57,0,-4.18
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop25,333,0.8133333333333334,-0.58,-6.42,5.97,-0.13,-6.42,2,5,-1.74,264,69,57,3,-4.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop25_or_prob52,333,0.8133333333333334,10.38,-0.1,6.27,4.21,-0.1,5,5,0.18,249,84,57,8,-2.19
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop25_or_prob54,333,0.8133333333333334,11.04,0.54,6.29,4.21,0.54,5,5,0.18,248,85,57,8,-1.99
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop25_or_prob56,333,0.8133333333333334,7.9,1.21,5.24,1.21,1.45,4,5,-0.29,241,92,57,7,-3.54
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop30,333,0.8133333333333334,0.38,-5.14,4.92,0.6,-5.14,3,5,-1.77,262,71,57,4,-4.57
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop30_or_prob52,333,0.8133333333333334,10.73,0.3,6.45,3.98,0.3,5,5,0.18,249,84,57,8,-2.05
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop30_or_prob54,333,0.8133333333333334,11.39,0.94,6.47,3.98,0.94,5,5,0.18,248,85,57,8,-1.85
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop30_or_prob56,333,0.8133333333333334,8.25,0.98,5.42,0.98,1.85,3,5,-0.44,241,92,57,7,-3.4
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop35,333,0.8133333333333334,4.22,-4.74,7.28,1.68,-4.74,3,5,-1.04,260,73,57,6,-3.62
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop35_or_prob52,333,0.8133333333333334,10.83,-0.68,7.25,4.26,-0.68,5,5,0.18,248,85,57,7,-1.9
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop35_or_prob54,333,0.8133333333333334,11.49,-0.04,7.27,4.26,-0.04,5,5,0.18,247,86,57,8,-1.7
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop35_or_prob56,333,0.8133333333333334,7.82,0.47,6.22,1.13,0.47,4,5,-0.19,240,93,57,7,-3.25
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop40,333,0.8133333333333334,7.45,-3.56,7.23,3.78,-3.56,4,5,-0.96,257,76,57,5,-2.52
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop40_or_prob52,333,0.8133333333333334,10.47,-0.54,7.43,3.58,-0.54,5,5,0.26,247,86,57,8,-2.37
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop40_or_prob54,333,0.8133333333333334,11.13,0.1,7.45,3.58,0.1,5,5,0.26,246,87,57,8,-2.17
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop40_or_prob56,333,0.8133333333333334,8.08,0.53,6.15,1.4,0.53,5,5,0.07,239,94,57,8,-3.11
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop45,333,0.8133333333333334,10.98,-2.0,8.1,4.88,-2.0,4,5,-0.84,254,79,57,7,-1.69
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop45_or_prob52,333,0.8133333333333334,9.01,0.13,4.56,4.32,0.13,5,5,0.38,245,88,57,7,-2.3
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop45_or_prob54,333,0.8133333333333334,10.63,0.77,5.54,4.32,0.77,5,5,0.38,245,88,57,8,-2.02
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop45_or_prob56,333,0.8133333333333334,7.32,1.1,4.24,1.98,1.1,4,5,-0.93,238,95,57,7,-2.75
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop50,333,0.8133333333333334,10.33,-0.91,6.9,4.34,-0.91,5,5,0.1,246,87,57,6,-2.14
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop50_or_prob52,333,0.8133333333333334,9.63,-0.21,6.12,3.72,-0.21,5,5,0.1,244,89,57,7,-2.06
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop50_or_prob54,333,0.8133333333333334,10.85,0.43,6.7,3.72,0.43,5,5,0.1,244,89,57,8,-1.78
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop50_or_prob56,333,0.8133333333333334,7.06,0.5,5.44,1.12,0.5,5,5,0.1,237,96,57,8,-2.75
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop55,333,0.8133333333333334,5.53,-2.94,6.88,1.59,-2.94,5,5,0.09,235,98,57,5,-2.36
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop55_or_prob52,333,0.8133333333333334,5.73,-2.86,6.9,1.69,-2.86,5,5,0.11,235,98,57,5,-2.26
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop55_or_prob54,333,0.8133333333333334,5.93,-2.66,6.9,1.69,-2.66,5,5,0.11,235,98,57,5,-2.26
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop55_or_prob56,333,0.8133333333333334,4.85,-2.26,5.64,1.47,-2.26,5,5,0.11,232,101,57,5,-2.48
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop60,333,0.8133333333333334,-1.69,-2.48,0.65,0.14,-2.48,3,5,-1.56,218,115,57,5,-3.28
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop60_or_prob52,333,0.8133333333333334,-1.69,-2.48,0.65,0.14,-2.48,3,5,-1.56,218,115,57,5,-3.28
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop60_or_prob54,333,0.8133333333333334,-1.49,-2.28,0.65,0.14,-2.28,3,5,-1.56,218,115,57,5,-3.28
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,stop60_or_prob56,333,0.8133333333333334,-1.27,-2.28,0.65,0.36,-2.28,3,5,-1.56,218,115,57,5,-3.06
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold15_prob52,333,0.8133333333333334,12.12,0.35,7.52,4.25,0.35,5,5,0.18,251,82,57,8,-2.15
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold15_prob54,333,0.8133333333333334,12.78,0.99,7.54,4.25,0.99,5,5,0.18,250,83,57,8,-1.95
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold15_prob56,333,0.8133333333333334,9.65,1.25,6.63,1.25,1.77,4,5,-0.67,243,90,57,7,-3.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold15_prob57,333,0.8133333333333334,7.22,0.87,4.89,1.46,0.87,4,5,-1.18,236,97,57,7,-3.04
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold30_prob52,333,0.8133333333333334,11.85,0.35,7.25,4.25,0.35,5,5,0.18,251,82,57,8,-2.15
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold30_prob54,333,0.8133333333333334,12.31,0.79,7.27,4.25,0.79,5,5,0.18,250,83,57,8,-1.95
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold30_prob56,333,0.8133333333333334,9.18,1.25,6.36,1.25,1.57,4,5,-0.94,243,90,57,7,-3.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold30_prob57,333,0.8133333333333334,7.28,1.16,4.66,1.46,1.16,4,5,-1.31,236,97,57,7,-3.16
