abs_d_sigma,actionable,ask_cents,ask_prob,book_age_ms,btc_age_ms,edge_cents,eff_edge_prob,eligible_depth,estimated_entry_fee_cents,feature_count,fv,gross_cents,h6_recross_hazard_high,hold_gross_cents,is_first_market_observation,is_first_market_side_observation,lambda_plus,market,market_observation_index,market_side_observation_index,meta_policy,net_gross_cents_after_entry_fee,outlier_count,outlier_share,p_eff,p_side,policy,raw_edge_cents,reason,recross_hazard_score,result,seconds_to_close,selection_reason,side,side_won,sigma_t_dollars,source,spectral_tag,status,top_eigenvalue,top_over_mp_edge,ts_wall,v28_minus_ask_prob,window_n
0.93606,True,81.0,0.81,578.0,31.0,2.23752,0.057374999999999954,65.0,3.0,11,v28_raw,36,True,38,True,True,,KXBTC15M-26MAY051300-00,0,0,raw_when_same_else_first_side_raw_later_book_p60_edge0,33.0,,,0.867375,0.867375,v28_raw_p50_edge0,4.23752,approved_entry,0.36657919808610573,yes,594.247,same_side_use_raw,yes,True,115.035336,approved_entry,insufficient_history,finalized,,,2026-05-05T16:50:05.755107+00:00,0.057374999999999954,0
0.992205,True,82.0,0.82,469.0,0.0,2.439055,0.05939100000000008,7.02,2.0,11,v28_raw,0,True,36,True,True,,KXBTC15M-26MAY051330-30,0,0,raw_when_same_else_first_side_raw_later_book_p60_edge0,-2.0,,,0.879391,0.879391,v28_raw_p50_edge0,4.439055,approved_entry,0.30242891547156237,yes,529.068,same_side_use_raw,yes,True,106.389306,approved_entry,insufficient_history,finalized,,,2026-05-05T17:21:10.942716+00:00,0.05939100000000008,0
0.123249,True,60.0,0.6,16.0,141.0,-6.715922,0.0,667.22,4.0,11,first_side_raw_later_book,80,True,80,False,False,,KXBTC15M-26MAY051430-30,7,3,raw_when_same_else_first_side_raw_later_book_p60_edge0,76.0,,,0.6,0.572841,first_side_raw_later_book_p60_edge0,-4.715922,p_below_floor,1.1354150489951023,no,824.334,side_flip_use_wait,no,True,134.199425,rejected_actionable,insufficient_history,finalized,,,2026-05-05T18:16:15.667377+00:00,-0.027158999999999933,0
0.241845,True,65.0,0.65,0.0,641.0,-8.951423,0.0,1027.4,4.0,11,first_side_raw_later_book,-130,True,-130,False,False,2.1865937744230046,KXBTC15M-26MAY051445-45,3,1,raw_when_same_else_first_side_raw_later_book_p60_edge0,-134.0,4,0.9625904040336172,0.65,0.600486,first_side_raw_later_book_p60_edge0,-6.951423,p_below_floor,1.0576854189228526,yes,863.994,side_flip_use_wait,no,False,137.484696,rejected_actionable,spectral_dominant_factor,finalized,12.65079714397455,5.78561838598156,2026-05-05T18:30:36.006338+00:00,-0.04951400000000006,48
0.178825,True,62.0,0.62,16.0,516.0,-7.397226,0.0,108.9,4.0,11,first_side_raw_later_book,76,True,76,False,False,2.1865937744230046,KXBTC15M-26MAY051500-00,3,1,raw_when_same_else_first_side_raw_later_book_p60_edge0,72.0,3,0.8491587214716823,0.62,0.586028,first_side_raw_later_book_p60_edge0,-5.397226,p_below_floor,1.0843473783164925,no,863.7,side_flip_use_wait,no,True,132.364322,rejected_actionable,spectral_dominant_factor,finalized,13.18843746841964,6.031498681962445,2026-05-05T18:45:36.302025+00:00,-0.033972,48
0.199146,True,62.0,0.62,16.0,563.0,-6.996764,0.0,1177.56,4.0,11,first_side_raw_later_book,76,True,76,False,False,2.1865937744230046,KXBTC15M-26MAY051515-15,7,3,raw_when_same_else_first_side_raw_later_book_p60_edge0,72.0,3,0.8808421071633321,0.62,0.590032,first_side_raw_later_book_p60_edge0,-4.996764,p_below_floor,0.9722137384369568,no,809.076,side_flip_use_wait,no,True,125.134297,rejected_actionable,spectral_dominant_factor,finalized,11.922319341947373,5.452461943962782,2026-05-05T19:01:30.926818+00:00,-0.029967999999999995,48
0.026256,True,49.0,0.49,0.0,218.0,-1.583175,0.024167999999999967,90.74,4.0,11,v28_raw,102,True,102,True,True,2.1865937744230046,KXBTC15M-26MAY051530-30,0,0,raw_when_same_else_first_side_raw_later_book_p60_edge0,98.0,3,0.8719723282763545,0.514168,0.514168,v28_raw_p50_edge0,0.416825,p_below_floor,1.1960717542039223,yes,869.475,same_side_use_raw,yes,True,124.925983,rejected_actionable,spectral_dominant_factor,finalized,6.005786464658936,2.7466402469950024,2026-05-05T19:15:30.525585+00:00,0.024167999999999967,48
0.127716,True,53.0,0.53,1000.0,578.0,-3.067648,0.009323999999999999,124.49,4.0,11,v28_raw,94,True,94,False,False,2.1865937744230046,KXBTC15M-26MAY051545-45,6,3,raw_when_same_else_first_side_raw_later_book_p60_edge0,90.0,3,0.9018972564809438,0.539324,0.539324,v28_raw_p50_edge0,-1.067648,p_below_floor,1.0112455315534306,yes,823.623,same_side_use_raw,yes,True,120.110228,rejected_actionable,spectral_dominant_factor,finalized,12.299031309034522,5.624744501195689,2026-05-05T19:31:16.377250+00:00,0.009323999999999999,48
0.077742,True,46.0,0.46,812.0,16.0,4.795259,0.087953,737.99,4.0,11,v28_raw,108,True,108,False,True,2.1865937744230046,KXBTC15M-26MAY051600-00,1,0,raw_when_same_else_first_side_raw_later_book_p60_edge0,104.0,3,0.7691082778746435,0.547953,0.547953,v28_raw_p50_edge0,6.795259,p_below_floor,1.1138511194482563,no,856.344,same_side_use_raw,no,True,123.420469,rejected_actionable,spectral_dominant_factor,finalized,4.839242308087483,2.2131419034907185,2026-05-05T19:45:43.657471+00:00,0.087953,48
0.870095,True,83.0,0.83,969.0,985.0,-0.782148,0.02217900000000006,1147.21,2.0,11,v28_raw,34,True,34,False,False,2.1865937744230046,KXBTC15M-26MAY051615-15,22,12,raw_when_same_else_first_side_raw_later_book_p60_edge0,32.0,4,0.964618645352644,0.852179,0.852179,v28_raw_p50_edge0,1.217852,edge_below_floor,0.3890707598566101,yes,661.575,same_side_use_raw,yes,True,108.327261,rejected_actionable,spectral_dominant_factor,finalized,21.471211424475623,9.819478897099401,2026-05-05T20:03:58.425282+00:00,0.02217900000000006,48
