dataset,block_kind,block,rows,base_brier,candidate_brier,brier_delta,base_logloss,candidate_logloss,logloss_delta,base_side_accuracy,candidate_side_accuracy
all_heartbeats,block10,0,1917,0.15114918474557246,0.15096090646799398,-0.00018827827757847415,0.44267492765324307,0.44223730393905464,-0.0004376237141884287,0.747000521648409,0.7548252477829943
all_heartbeats,block10,1,1919,0.17229278674784718,0.17251680350068926,0.00022401675284208777,0.5144250473097393,0.5153224836913379,0.0008974363815986708,0.7483064095883273,0.7472642001042209
all_heartbeats,block10,2,1921,0.15598465420440863,0.1560598222549469,7.516805053828235e-05,0.4859020872574557,0.4867843560943075,0.0008822688368517739,0.7496095783446122,0.7511712649661635
all_heartbeats,block10,3,1921,0.13462762230763173,0.13452174747660006,-0.00010587483103166595,0.4054048706009225,0.4048838070796674,-0.0005210635212550829,0.7969807391983342,0.7928162415408642
all_heartbeats,block10,4,1858,0.1476524442456166,0.147879205093548,0.0002267608479313843,0.43096446618573275,0.4314690701815078,0.0005046039957750659,0.7658772874058127,0.763724434876211
all_heartbeats,block10,5,1862,0.1350936667125768,0.13484163058325013,-0.0002520361293266715,0.4423691709822977,0.4428521205832031,0.0004829496009053913,0.8372717508055854,0.8367346938775511
all_heartbeats,block10,6,1919,0.14849247336878046,0.14796760501528952,-0.0005248683534909426,0.44639556940052,0.44482821155904745,-0.0015673578414725498,0.7608129233976029,0.7623762376237624
all_heartbeats,block10,7,1899,0.12341095399677916,0.12265974705591322,-0.000751206940865945,0.36713080990220254,0.36460672211669576,-0.002524087785506779,0.8109531332280148,0.8120063191153238
all_heartbeats,block10,8,1922,0.11923820687713048,0.11936775787243567,0.00012955099530519154,0.3620692321498524,0.36182964425424063,-0.0002395878956117925,0.81789802289282,0.8116545265348595
all_heartbeats,block10,9,1883,0.17562441444115048,0.17526239268787483,-0.0003620217532756542,0.5164732337113271,0.5164799335403051,6.699828977940747e-06,0.727562400424854,0.7206585236325014
all_heartbeats,block20,0,984,0.14639566994103376,0.14628104010651027,-0.00011462983452348308,0.42792220666033487,0.42756162244771495,-0.0003605842126199188,0.7479674796747967,0.7560975609756098
all_heartbeats,block20,1,933,0.15616253797994126,0.1558965854601697,-0.0002659525197715451,0.45823406747856105,0.457715193100339,-0.0005188743782220673,0.7459807073954984,0.7534833869239014
all_heartbeats,block20,2,989,0.1605506438067175,0.16133167532441695,0.0007810315176994542,0.4897704536440169,0.4922186100297722,0.0024481563857552957,0.7482305358948432,0.7451971688574317
all_heartbeats,block20,3,930,0.18477986133793026,0.18441152583007991,-0.0003683355078503425,0.5406437496058676,0.5398920869722933,-0.0007516626335742904,0.7483870967741936,0.7494623655913979
all_heartbeats,block20,4,992,0.08735484044846559,0.08786583682672909,0.0005109963782635035,0.29182240182546976,0.29242034604605166,0.000597944220581903,0.9082661290322581,0.9042338709677419
all_heartbeats,block20,5,929,0.22926858880709486,0.22887837289519672,-0.00039021591189813964,0.6931432583538284,0.694329133239485,0.0011858748856565793,0.5801937567276642,0.5877287405812702
all_heartbeats,block20,6,988,0.11791971369560798,0.11794261832081224,2.2904625204253626e-05,0.3627390971262555,0.3628041972814077,6.510015515220902e-05,0.8168016194331984,0.8087044534412956
all_heartbeats,block20,7,933,0.15232045586463008,0.15207821007672695,-0.00024224578790313367,0.45058577541653994,0.4494439940900433,-0.001141781326496616,0.7759914255091104,0.7759914255091104
