dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard45_sec600_else_score_min60,3,20,16,0.8,14,2,0.875,264.0,0.2323943661971831,67.5,True,True
current,hazard45_sec600_else_score_min60,4,20,15,0.75,9,6,0.6,-106.0,-0.10536779324055666,63.0,False,False
current,hazard45_sec600_else_score_min60,5,20,17,0.85,12,5,0.7058823529411765,28.0,0.023890784982935155,66.0,True,True
current,hazard45_sec600_else_score_min60,6,20,14,0.7,11,3,0.7857142857142857,90.0,0.0891089108910891,69.0,True,False
current,hazard45_sec600_else_score_min60,7,20,15,0.75,13,2,0.8666666666666667,225.0,0.20930232558139536,69.0,True,False
current,hazard45_sec600_else_score_min60,8,20,15,0.75,12,3,0.8,139.0,0.13100848256361922,70.0,True,False
current,hazard45_sec600_else_score_min60,9,20,15,0.75,14,1,0.9333333333333333,328.0,0.30597014925373134,68.0,True,False
current,hazard45_sec600_else_score_min60,10,20,16,0.8,10,6,0.625,-125.0,-0.1111111111111111,68.5,False,True
current,hazard45_sec600_else_score_min60,11,20,18,0.9,12,6,0.6666666666666666,-80.0,-0.0625,68.5,False,True
current,hazard45_sec600_else_score_min60,12,20,18,0.9,14,4,0.7777777777777778,106.0,0.08191653786707882,71.0,True,True
current,hazard45_sec600_else_score_min60,13,20,18,0.9,14,4,0.7777777777777778,60.0,0.04477611940298507,69.0,True,True
current,hazard45_sec600_else_score_min60,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-137.0,-0.14621131270010673,69.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,69.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,194.0,0.1379800853485064,69.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard50_sec60_else_score_min60,0,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,65.0,False,True
current,hazard50_sec60_else_score_min60,1,20,20,1.0,16,4,0.8,213.0,0.15356885364095169,66.0,True,True
current,hazard50_sec60_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard50_sec60_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard50_sec60_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard50_sec60_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard50_sec60_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard50_sec60_else_score_min60,7,20,19,0.95,15,4,0.7894736842105263,120.0,0.08695652173913043,69.0,True,True
current,hazard50_sec60_else_score_min60,8,20,20,1.0,16,4,0.8,185.0,0.13074204946996468,69.5,True,True
current,hazard50_sec60_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard50_sec60_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard50_sec60_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard50_sec60_else_score_min60,12,20,20,1.0,16,4,0.8,178.0,0.12517580872011252,70.5,True,True
current,hazard50_sec60_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard50_sec60_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,0,20,16,0.8,12,4,0.75,143.0,0.13528855250709557,63.5,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,1,20,17,0.85,13,4,0.7647058823529411,140.0,0.1206896551724138,67.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,2,20,18,0.9,13,5,0.7222222222222222,40.0,0.031746031746031744,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,3,20,17,0.85,14,3,0.8235294117647058,208.0,0.174496644295302,67.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,4,20,15,0.75,10,5,0.6666666666666666,-10.0,-0.009900990099009901,65.0,False,False
current,hazard50_sec600_else_logit_thresh55_edge15,5,20,18,0.9,11,7,0.6111111111111112,-146.0,-0.11717495987158909,66.5,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,6,20,15,0.75,11,4,0.7333333333333333,20.0,0.018518518518518517,69.0,True,False
