rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,25,0.36231884057971014,-24.299999999999997,16.520000000000017,18,7,-17.720000000000002,-4.84,-1.7399999999999998,15,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,28,0.4057971014492754,-25.399999999999995,15.42000000000002,19,9,-16.74,-6.920000000000002,-1.7399999999999998,16,8,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,22,0.3188405797101449,-26.179999999999996,14.640000000000018,15,7,-18.28,-4.84,-3.0600000000000005,14,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,15,0.21739130434782608,-27.339999999999996,13.480000000000018,10,5,-18.740000000000002,-4.84,-3.7600000000000007,8,6,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,7,0.10144927536231885,-28.159999999999997,12.660000000000018,7,0,-17.86,-4.4399999999999995,-5.86,3,4,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND exit_sigma_t_dollars>=75,11,0.15942028985507245,-28.52,12.300000000000015,7,4,-17.82,-4.84,-5.86,5,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,20,0.2898550724637681,-29.299999999999997,11.520000000000017,15,5,-18.62,-8.94,-1.7399999999999998,14,2,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,7,0.10144927536231885,-29.979999999999997,10.840000000000018,6,1,-14.039999999999997,-10.080000000000002,-5.86,5,2,0,True,True
suppress_collapse_exit_if_exit_p_hold<=0.6 AND exit_sigma_t_dollars>=75,13,0.18840579710144928,-30.599999999999998,10.220000000000017,7,6,-17.82,-6.920000000000002,-5.86,5,8,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,7,0.10144927536231885,-30.679999999999996,10.140000000000018,5,2,-19.580000000000002,-5.240000000000001,-5.86,1,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=20,12,0.17391304347826086,-30.84,9.980000000000015,7,5,-20.140000000000004,-4.84,-5.86,6,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,23,0.3333333333333333,-31.259999999999994,9.56000000000002,15,8,-16.96,-12.560000000000002,-1.7399999999999998,13,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,19,0.2753623188405797,-31.3,9.520000000000014,12,7,-18.520000000000003,-6.920000000000002,-5.86,11,8,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,22,0.3188405797101449,-31.419999999999995,9.40000000000002,16,6,-18.660000000000004,-11.020000000000001,-1.7399999999999998,14,4,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,9,0.13043478260869565,-31.54,9.280000000000015,9,0,-15.219999999999997,-14.580000000000002,-1.7399999999999998,5,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,24,0.34782608695652173,-31.559999999999995,9.26000000000002,16,8,-17.26,-12.560000000000002,-1.7399999999999998,14,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,14,0.2028985507246377,-31.879999999999995,8.940000000000019,9,5,-16.259999999999998,-12.560000000000002,-3.0600000000000005,6,6,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,7,0.10144927536231885,-31.9,8.920000000000016,5,2,-15.959999999999997,-10.080000000000002,-5.86,5,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,12,0.17391304347826086,-32.300000000000004,8.52000000000001,10,2,-15.979999999999999,-14.580000000000002,-1.7399999999999998,8,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,4,0.057971014492753624,-32.50000000000001,8.320000000000007,4,0,-16.56,-10.080000000000002,-5.86,2,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=300,15,0.21739130434782608,-32.66000000000001,8.160000000000004,10,5,-20.280000000000005,-6.520000000000001,-5.86,9,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,6,0.08695652173913043,-32.70000000000001,8.120000000000005,5,1,-17.900000000000002,-8.94,-5.86,4,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,9,0.13043478260869565,-33.24000000000001,7.580000000000005,8,1,-16.919999999999998,-14.580000000000002,-1.7399999999999998,5,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=8,7,0.10144927536231885,-33.44000000000001,7.380000000000003,7,0,-17.12,-14.580000000000002,-1.7399999999999998,3,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=90,22,0.3188405797101449,-33.52000000000001,7.300000000000004,14,8,-19.220000000000002,-12.560000000000002,-1.7399999999999998,12,6,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=12,9,0.13043478260869565,-33.78000000000001,7.040000000000006,8,1,-17.46,-14.580000000000002,-1.7399999999999998,5,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_sigma_t_dollars>=75,5,0.07246376811594203,-33.88000000000001,6.940000000000005,3,2,-17.54,-10.48,-5.86,1,4,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_btc_age_ms<=300,9,0.13043478260869565,-34.180000000000014,6.640000000000001,5,4,-20.040000000000003,-8.280000000000001,-5.86,3,6,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND position_seconds<=45,23,0.3333333333333333,-34.24000000000001,6.580000000000005,17,6,-16.96,-13.3,-3.9800000000000004,15,2,6,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,8,0.11594202898550725,-34.30000000000002,6.519999999999996,6,2,-16.66,-14.580000000000002,-3.0600000000000005,6,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND fair_minus_exit_bid_cents>=15,5,0.07246376811594203,-34.30000000000002,6.519999999999996,3,2,-18.360000000000003,-10.080000000000002,-5.86,3,2,0,True,True
