rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-19.209182,12.510818000000004,17,6,-7.25918,-11.700002000000001,-0.25000000000000006,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.229182,12.490818,16,5,-7.25918,-11.720002000000001,-0.25000000000000006,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.519181999999994,11.200818000000009,14,5,-7.819179999999999,-11.720002000000001,-0.98,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.639181999999998,10.080818000000004,14,4,-8.239180000000001,-13.150002,-0.25000000000000006,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.649181999999996,9.070818000000006,15,4,-6.33918,-16.060002,-0.25000000000000006,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.81918,8.900820000000003,15,5,-7.25918,-15.309999999999999,-0.25000000000000006,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-23.219179999999998,8.500820000000004,13,3,-6.119179999999999,-16.130000000000003,-0.97,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.269180000000002,8.45082,13,5,-7.59918,-14.7,-0.97,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.339181999999994,8.380818000000009,9,4,-11.09918,-10.490002,-1.7499999999999998,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.360000000000003,8.36,5,1,-8.880000000000003,-11.200000000000003,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,8,0.1509433962264151,-23.890002000000003,7.829998,6,2,-8.720000000000002,-11.890001999999999,-3.2800000000000002,3,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.440002000000003,7.279997999999999,5,0,-10.2,-10.960002,-3.2800000000000002,2,3,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.619999999999997,7.100000000000005,18,8,-6.130000000000001,-15.58,-2.9099999999999997,16,3,7,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-24.660000000000004,7.059999999999999,8,1,-6.32,-16.56,-1.78,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-24.680000000000003,7.039999999999999,7,0,-6.32,-16.580000000000002,-1.78,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-24.939182,6.780818000000004,11,3,-7.87918,-16.080002,-0.98,7,4,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.200000000000003,6.52,8,2,-7.9,-15.52,-1.78,7,1,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-25.369999999999997,6.350000000000005,7,1,-10.239999999999998,-14.880000000000003,-0.25000000000000006,2,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-25.37,6.350000000000001,4,2,-8.880000000000003,-13.21,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.559182000000003,6.160817999999999,10,5,-8.879180000000002,-13.400002,-3.2800000000000002,8,7,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.660000000000004,6.059999999999999,8,2,-7.32,-16.56,-1.78,6,2,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,6,0.11320754716981132,-26.000000000000004,5.719999999999999,5,1,-6.91,-16.580000000000002,-2.51,5,0,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,5,0.09433962264150944,-26.000002,5.719998000000004,4,1,-11.86,-10.860002000000001,-3.2800000000000002,0,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-26.05,5.670000000000002,7,3,-10.07,-13.470000000000002,-2.51,2,7,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-26.16,5.560000000000002,3,0,-11.86,-11.02,-3.2800000000000002,0,3,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-26.380000000000003,5.34,6,1,-9.080000000000002,-15.52,-1.78,4,1,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND exit_sigma_t_dollars>=50,7,0.1320754716981132,-26.410000000000004,5.309999999999999,6,1,-7.300000000000001,-16.56,-2.55,4,2,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=4,5,0.09433962264150944,-26.430000000000003,5.289999999999999,5,0,-7.300000000000001,-16.580000000000002,-2.55,4,0,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,4,0.07547169811320754,-26.630002,5.089998000000001,3,1,-11.010000000000002,-12.340002000000002,-3.2800000000000002,1,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=8,5,0.09433962264150944,-26.730000000000004,4.989999999999998,5,0,-8.370000000000001,-16.580000000000002,-1.78,3,0,2,True,True
