dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,positive_net,coverage_pass,fade_selected
current,fade_no_margin0_ask100,0,20,20,1.0,13,7,0.65,2.0,True,True,1
current,fade_no_margin0_ask100,1,20,20,1.0,14,6,0.7,59.0,True,True,0
current,fade_no_margin0_ask100,2,20,20,1.0,14,6,0.7,184.0,True,True,5
current,fade_no_margin0_ask100,3,20,20,1.0,16,4,0.8,274.0,True,True,0
current,fade_no_margin0_ask100,4,20,20,1.0,12,8,0.6,-117.0,False,True,0
current,fade_no_margin0_ask100,5,20,20,1.0,11,9,0.55,-209.0,False,True,1
current,fade_no_margin0_ask100,6,20,20,1.0,16,4,0.8,220.0,True,True,0
current,fade_no_margin0_ask100,7,20,19,0.95,16,3,0.8421052631578947,297.0,True,True,0
current,fade_no_margin0_ask100,8,20,20,1.0,13,7,0.65,18.0,True,True,1
current,fade_no_margin0_ask100,9,20,19,0.95,15,4,0.7894736842105263,200.0,True,True,0
current,fade_no_margin0_ask100,10,20,20,1.0,13,7,0.65,-43.0,False,True,1
current,fade_no_margin0_ask100,11,20,20,1.0,13,7,0.65,-73.0,False,True,0
current,fade_no_margin0_ask100,12,20,20,1.0,16,4,0.8,258.0,True,True,0
current,fade_no_margin0_ask100,13,20,20,1.0,14,6,0.7,146.0,True,True,5
current,fade_no_margin0_ask100,14,20,20,1.0,9,11,0.45,-342.0,False,True,4
current,fade_no_margin0_ask100,15,7,7,1.0,6,1,0.8571428571428571,139.0,True,True,1
v21,fade_no_margin0_ask100,0,20,19,0.95,16,3,0.8421052631578947,223.0,True,True,0
v21,fade_no_margin0_ask100,1,20,20,1.0,11,9,0.55,-165.0,False,True,4
v21,fade_no_margin0_ask100,2,20,20,1.0,12,8,0.6,-159.0,False,True,1
v21,fade_no_margin0_ask100,3,20,20,1.0,12,8,0.6,-123.0,False,True,1
v21,fade_no_margin0_ask100,4,20,20,1.0,13,7,0.65,-41.0,False,True,1
v21,fade_no_margin0_ask100,5,20,20,1.0,13,7,0.65,52.0,True,True,3
v21,fade_no_margin0_ask100,6,20,20,1.0,13,7,0.65,59.0,True,True,4
v21,fade_no_margin0_ask100,7,20,20,1.0,16,4,0.8,230.0,True,True,0
v21,fade_no_margin0_ask100,8,20,20,1.0,9,11,0.45,-411.0,False,True,1
v21,fade_no_margin0_ask100,9,20,20,1.0,17,3,0.85,292.0,True,True,0
v21,fade_no_margin0_ask100,10,20,19,0.95,14,5,0.7368421052631579,31.0,True,True,0
v21,fade_no_margin0_ask100,11,1,1,1.0,1,0,1.0,37.0,True,True,0
current,fade_no_margin10_ask70,0,20,20,1.0,13,7,0.65,2.0,True,True,1
current,fade_no_margin10_ask70,1,20,20,1.0,14,6,0.7,59.0,True,True,0
current,fade_no_margin10_ask70,2,20,20,1.0,13,7,0.65,49.0,True,True,4
