dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,brownian70_override_book55_no_margin_on_conflict,hour,4,16,15,1,0.9375,445.0,27.8125,61.0
current,brownian70_override_book55_no_margin_on_conflict,hour,5,16,10,6,0.625,-129.0,-8.0625,68.0
current,brownian70_override_book55_no_margin_on_conflict,hour,6,16,14,2,0.875,218.0,13.625,72.0
current,brownian70_override_book55_no_margin_on_conflict,hour,7,16,10,6,0.625,-56.0,-3.5,60.5
current,brownian70_override_book55_no_margin_on_conflict,hour,8,16,8,8,0.5,-292.0,-18.25,63.5
current,brownian70_override_book55_no_margin_on_conflict,hour,9,14,9,5,0.6428571428571429,-17.0,-1.2142857142857142,58.0
current,brownian70_override_book55_no_margin_on_conflict,ask,ask<=60,128,81,47,0.6328125,490.0,3.828125,57.0
current,brownian70_override_book55_no_margin_on_conflict,ask,ask<=70,82,51,31,0.6219512195121951,-345.0,-4.2073170731707314,64.0
current,brownian70_override_book55_no_margin_on_conflict,ask,ask<=80,52,43,9,0.8269230769230769,299.0,5.75,74.0
current,brownian70_override_book55_no_margin_on_conflict,ask,ask<=95,42,38,4,0.9047619047619048,139.0,3.3095238095238093,85.0
current,brownian70_override_book55_no_margin_on_conflict,time,sec<=300,5,5,0,1.0,60.0,12.0,87.0
current,brownian70_override_book55_no_margin_on_conflict,time,sec<=600,36,29,7,0.8055555555555556,232.0,6.444444444444445,72.5
current,brownian70_override_book55_no_margin_on_conflict,time,sec<=900,263,179,84,0.6806083650190115,291.0,1.1064638783269962,62.0
current,brownian70_override_book60_no_margin_on_conflict,split,holdout,62,47,15,0.7580645161290323,107.0,1.7258064516129032,70.5
current,brownian70_override_book60_no_margin_on_conflict,split,train,180,137,43,0.7611111111111111,482.0,2.6777777777777776,70.0
current,brownian70_override_book60_no_margin_on_conflict,split,validation,61,44,17,0.7213114754098361,53.0,0.8688524590163934,66.0
current,brownian70_override_book60_no_margin_on_conflict,side,no,148,113,35,0.7635135135135135,538.0,3.635135135135135,69.0
current,brownian70_override_book60_no_margin_on_conflict,side,yes,155,115,40,0.7419354838709677,104.0,0.6709677419354839,70.0
current,brownian70_override_book60_no_margin_on_conflict,source,book_conflict_override,137,95,42,0.6934306569343066,300.0,2.18978102189781,63.0
current,brownian70_override_book60_no_margin_on_conflict,source,brownian_agree,166,133,33,0.8012048192771084,342.0,2.0602409638554215,77.0
current,brownian70_override_book60_no_margin_on_conflict,conflict,False,166,133,33,0.8012048192771084,342.0,2.0602409638554215,77.0
current,brownian70_override_book60_no_margin_on_conflict,conflict,True,137,95,42,0.6934306569343066,300.0,2.18978102189781,63.0
current,brownian70_override_book60_no_margin_on_conflict,hour,0,9,7,2,0.7777777777777778,58.0,6.444444444444445,70.0
current,brownian70_override_book60_no_margin_on_conflict,hour,1,8,7,1,0.875,84.0,10.5,77.5
current,brownian70_override_book60_no_margin_on_conflict,hour,10,12,11,1,0.9166666666666666,278.0,23.166666666666668,65.0
current,brownian70_override_book60_no_margin_on_conflict,hour,11,11,9,2,0.8181818181818182,137.0,12.454545454545455,66.0
current,brownian70_override_book60_no_margin_on_conflict,hour,12,12,11,1,0.9166666666666666,174.0,14.5,76.0
current,brownian70_override_book60_no_margin_on_conflict,hour,13,12,8,4,0.6666666666666666,-145.0,-12.083333333333334,77.0
current,brownian70_override_book60_no_margin_on_conflict,hour,14,11,8,3,0.7272727272727273,8.0,0.7272727272727273,67.0
current,brownian70_override_book60_no_margin_on_conflict,hour,15,12,8,4,0.6666666666666666,-72.0,-6.0,66.5
current,brownian70_override_book60_no_margin_on_conflict,hour,16,8,6,2,0.75,21.0,2.625,67.5
current,brownian70_override_book60_no_margin_on_conflict,hour,17,12,10,2,0.8333333333333334,165.0,13.75,64.5
current,brownian70_override_book60_no_margin_on_conflict,hour,18,12,9,3,0.75,17.0,1.4166666666666667,74.5
current,brownian70_override_book60_no_margin_on_conflict,hour,19,12,11,1,0.9166666666666666,208.0,17.333333333333332,70.5
current,brownian70_override_book60_no_margin_on_conflict,hour,2,14,9,5,0.6428571428571429,-95.0,-6.785714285714286,66.5
current,brownian70_override_book60_no_margin_on_conflict,hour,20,12,10,2,0.8333333333333334,64.0,5.333333333333333,79.0
current,brownian70_override_book60_no_margin_on_conflict,hour,21,12,10,2,0.8333333333333334,77.0,6.416666666666667,76.0
current,brownian70_override_book60_no_margin_on_conflict,hour,22,12,11,1,0.9166666666666666,213.0,17.75,70.0
current,brownian70_override_book60_no_margin_on_conflict,hour,23,12,10,2,0.8333333333333334,151.0,12.583333333333334,64.0
current,brownian70_override_book60_no_margin_on_conflict,hour,3,16,8,8,0.5,-342.0,-21.375,65.0
current,brownian70_override_book60_no_margin_on_conflict,hour,4,16,12,4,0.75,61.0,3.8125,68.0
current,brownian70_override_book60_no_margin_on_conflict,hour,5,16,11,5,0.6875,-69.0,-4.3125,71.0
current,brownian70_override_book60_no_margin_on_conflict,hour,6,16,14,2,0.875,185.0,11.5625,73.0
current,brownian70_override_book60_no_margin_on_conflict,hour,7,16,10,6,0.625,-144.0,-9.0,68.0
current,brownian70_override_book60_no_margin_on_conflict,hour,8,16,9,7,0.5625,-279.0,-17.4375,70.5
current,brownian70_override_book60_no_margin_on_conflict,hour,9,14,9,5,0.6428571428571429,-113.0,-8.071428571428571,69.0
current,brownian70_override_book60_no_margin_on_conflict,ask,ask<=60,10,7,3,0.7,119.0,11.9,56.0
current,brownian70_override_book60_no_margin_on_conflict,ask,ask<=70,149,97,52,0.6510067114093959,-176.0,-1.1812080536912752,63.0
current,brownian70_override_book60_no_margin_on_conflict,ask,ask<=80,86,73,13,0.8488372093023255,666.0,7.744186046511628,75.0
current,brownian70_override_book60_no_margin_on_conflict,ask,ask<=95,58,51,7,0.8793103448275862,33.0,0.5689655172413793,85.0
current,brownian70_override_book60_no_margin_on_conflict,time,sec<=300,13,11,2,0.8461538461538461,14.0,1.0769230769230769,86.0
current,brownian70_override_book60_no_margin_on_conflict,time,sec<=600,73,56,17,0.7671232876712328,-5.0,-0.0684931506849315,75.0
current,brownian70_override_book60_no_margin_on_conflict,time,sec<=900,217,161,56,0.7419354838709677,633.0,2.9170506912442398,68.0
v21,book_margin_locked,split,holdout,44,34,10,0.7727272727272727,293.0,6.659090909090909,67.0
v21,book_margin_locked,split,train,131,90,41,0.6870229007633588,-80.0,-0.6106870229007634,66.0
v21,book_margin_locked,split,validation,44,32,12,0.7272727272727273,212.0,4.818181818181818,64.5
v21,book_margin_locked,side,no,103,75,28,0.7281553398058253,359.0,3.4854368932038833,65.0
v21,book_margin_locked,side,yes,116,81,35,0.6982758620689655,66.0,0.5689655172413793,66.0
v21,book_margin_locked,source,book_p_side,219,156,63,0.7123287671232876,425.0,1.9406392694063928,66.0
v21,book_margin_locked,conflict,False,219,156,63,0.7123287671232876,425.0,1.9406392694063928,66.0
v21,book_margin_locked,hour,0,7,5,2,0.7142857142857143,24.0,3.4285714285714284,65.0
v21,book_margin_locked,hour,1,8,5,3,0.625,-30.0,-3.75,64.0
v21,book_margin_locked,hour,10,10,9,1,0.9,202.0,20.2,66.0
v21,book_margin_locked,hour,11,12,10,2,0.8333333333333334,164.0,13.666666666666666,65.0
v21,book_margin_locked,hour,12,12,10,2,0.8333333333333334,139.0,11.583333333333334,70.0
v21,book_margin_locked,hour,13,12,7,5,0.5833333333333334,-145.0,-12.083333333333334,67.0
v21,book_margin_locked,hour,14,12,7,5,0.5833333333333334,-127.0,-10.583333333333334,65.5
v21,book_margin_locked,hour,15,12,7,5,0.5833333333333334,-136.0,-11.333333333333334,65.5
v21,book_margin_locked,hour,16,9,7,2,0.7777777777777778,93.0,10.333333333333334,66.0
v21,book_margin_locked,hour,17,8,5,3,0.625,-36.0,-4.5,62.5
v21,book_margin_locked,hour,18,8,6,2,0.75,22.0,2.75,70.0
v21,book_margin_locked,hour,19,8,6,2,0.75,52.0,6.5,64.0
v21,book_margin_locked,hour,2,8,5,3,0.625,-61.0,-7.625,67.0
v21,book_margin_locked,hour,20,8,4,4,0.5,-156.0,-19.5,66.0
v21,book_margin_locked,hour,21,8,7,1,0.875,142.0,17.75,66.5
v21,book_margin_locked,hour,22,8,7,1,0.875,115.0,14.375,68.5
v21,book_margin_locked,hour,23,8,8,0,1.0,269.0,33.625,62.0
v21,book_margin_locked,hour,3,8,2,6,0.25,-334.0,-41.75,64.5
v21,book_margin_locked,hour,4,10,6,4,0.6,-117.0,-11.7,67.5
v21,book_margin_locked,hour,5,12,10,2,0.8333333333333334,170.0,14.166666666666666,67.0
v21,book_margin_locked,hour,6,8,5,3,0.625,-40.0,-5.0,63.5
v21,book_margin_locked,hour,7,8,8,0,1.0,266.0,33.25,64.0
v21,book_margin_locked,hour,8,7,3,4,0.42857142857142855,-182.0,-26.0,67.0
v21,book_margin_locked,hour,9,8,7,1,0.875,131.0,16.375,69.0
v21,book_margin_locked,ask,ask<=70,164,118,46,0.7195121951219512,904.0,5.512195121951219,64.0
v21,book_margin_locked,ask,ask<=80,44,27,17,0.6136363636363636,-632.0,-14.363636363636363,72.5
v21,book_margin_locked,ask,ask<=95,11,11,0,1.0,153.0,13.909090909090908,83.0
v21,book_margin_locked,time,sec<=300,2,1,1,0.5,-58.0,-29.0,77.5
v21,book_margin_locked,time,sec<=600,28,18,10,0.6428571428571429,-187.0,-6.678571428571429,66.5
v21,book_margin_locked,time,sec<=900,189,137,52,0.7248677248677249,670.0,3.544973544973545,65.0
v21,brownian70_sec120,split,holdout,42,35,7,0.8333333333333334,128.0,3.0476190476190474,79.0
v21,brownian70_sec120,split,train,127,96,31,0.7559055118110236,-337.0,-2.6535433070866143,76.0
v21,brownian70_sec120,split,validation,44,39,5,0.8863636363636364,341.0,7.75,79.0
v21,brownian70_sec120,side,no,102,83,19,0.8137254901960784,270.0,2.6470588235294117,77.0
v21,brownian70_sec120,side,yes,111,87,24,0.7837837837837838,-138.0,-1.2432432432432432,78.0
v21,brownian70_sec120,source,brownian_p_rv_15m,213,170,43,0.7981220657276995,132.0,0.6197183098591549,77.0
v21,brownian70_sec120,conflict,False,213,170,43,0.7981220657276995,132.0,0.6197183098591549,77.0
v21,brownian70_sec120,hour,0,7,5,2,0.7142857142857143,-51.0,-7.285714285714286,75.0
v21,brownian70_sec120,hour,1,8,6,2,0.75,-45.0,-5.625,77.0
v21,brownian70_sec120,hour,10,10,9,1,0.9,134.0,13.4,75.0
v21,brownian70_sec120,hour,11,11,10,1,0.9090909090909091,133.0,12.090909090909092,79.0
v21,brownian70_sec120,hour,12,11,11,0,1.0,255.0,23.181818181818183,75.0
v21,brownian70_sec120,hour,13,12,10,2,0.8333333333333334,24.0,2.0,79.5
v21,brownian70_sec120,hour,14,12,10,2,0.8333333333333334,30.0,2.5,79.0
v21,brownian70_sec120,hour,15,12,8,4,0.6666666666666666,-200.0,-16.666666666666668,81.5
v21,brownian70_sec120,hour,16,8,7,1,0.875,90.0,11.25,76.0
v21,brownian70_sec120,hour,17,8,6,2,0.75,-38.0,-4.75,80.0
v21,brownian70_sec120,hour,18,8,6,2,0.75,0.0,0.0,75.0
v21,brownian70_sec120,hour,19,8,6,2,0.75,-8.0,-1.0,74.5
v21,brownian70_sec120,hour,2,8,6,2,0.75,-50.0,-6.25,78.5
v21,brownian70_sec120,hour,20,8,5,3,0.625,-137.0,-17.125,77.0
v21,brownian70_sec120,hour,21,8,7,1,0.875,75.0,9.375,76.0
v21,brownian70_sec120,hour,22,8,7,1,0.875,46.0,5.75,80.5
v21,brownian70_sec120,hour,23,8,6,2,0.75,-29.0,-3.625,76.5
v21,brownian70_sec120,hour,3,8,7,1,0.875,40.0,5.0,84.0
v21,brownian70_sec120,hour,4,9,7,2,0.7777777777777778,6.0,0.6666666666666666,76.0
v21,brownian70_sec120,hour,5,12,10,2,0.8333333333333334,48.0,4.0,76.5
v21,brownian70_sec120,hour,6,8,6,2,0.75,-49.0,-6.125,80.0
v21,brownian70_sec120,hour,7,8,5,3,0.625,-136.0,-17.0,77.0
v21,brownian70_sec120,hour,8,6,3,3,0.5,-170.0,-28.333333333333332,77.0
v21,brownian70_sec120,hour,9,7,7,0,1.0,164.0,23.428571428571427,74.0
v21,brownian70_sec120,ask,ask<=60,5,4,1,0.8,126.0,25.2,57.0
v21,brownian70_sec120,ask,ask<=70,25,15,10,0.6,-219.0,-8.76,67.0
v21,brownian70_sec120,ask,ask<=80,110,83,27,0.7545454545454545,-236.0,-2.1454545454545455,75.0
v21,brownian70_sec120,ask,ask<=95,73,68,5,0.9315068493150684,461.0,6.315068493150685,85.0
v21,brownian70_sec120,time,sec<=300,26,24,2,0.9230769230769231,211.0,8.115384615384615,83.0
v21,brownian70_sec120,time,sec<=600,77,54,23,0.7012987012987013,-779.0,-10.116883116883116,78.0
v21,brownian70_sec120,time,sec<=900,110,92,18,0.8363636363636363,700.0,6.363636363636363,75.0
v21,score_min60_lock_equiv,split,holdout,44,34,10,0.7727272727272727,155.0,3.522727272727273,70.0
v21,score_min60_lock_equiv,split,train,130,92,38,0.7076923076923077,-19.0,-0.14615384615384616,68.0
v21,score_min60_lock_equiv,split,validation,44,35,9,0.7954545454545454,398.0,9.045454545454545,67.0
v21,score_min60_lock_equiv,side,no,99,76,23,0.7676767676767676,542.0,5.474747474747475,67.0
v21,score_min60_lock_equiv,side,yes,119,85,34,0.7142857142857143,-8.0,-0.06722689075630252,68.0
v21,score_min60_lock_equiv,source,score_min_book_rv15,218,161,57,0.7385321100917431,534.0,2.44954128440367,68.0
v21,score_min60_lock_equiv,conflict,False,218,161,57,0.7385321100917431,534.0,2.44954128440367,68.0
v21,score_min60_lock_equiv,hour,0,7,4,3,0.5714285714285714,-96.0,-13.714285714285714,71.0
v21,score_min60_lock_equiv,hour,1,8,6,2,0.75,60.0,7.5,65.0
v21,score_min60_lock_equiv,hour,10,10,9,1,0.9,141.0,14.1,73.0
v21,score_min60_lock_equiv,hour,11,12,11,1,0.9166666666666666,243.0,20.25,67.0
v21,score_min60_lock_equiv,hour,12,12,10,2,0.8333333333333334,115.0,9.583333333333334,71.0
v21,score_min60_lock_equiv,hour,13,12,7,5,0.5833333333333334,-175.0,-14.583333333333334,70.5
v21,score_min60_lock_equiv,hour,14,12,9,3,0.75,58.0,4.833333333333333,67.0
v21,score_min60_lock_equiv,hour,15,12,8,4,0.6666666666666666,-77.0,-6.416666666666667,70.0
v21,score_min60_lock_equiv,hour,16,9,7,2,0.7777777777777778,86.0,9.555555555555555,66.0
v21,score_min60_lock_equiv,hour,17,8,6,2,0.75,43.0,5.375,65.5
v21,score_min60_lock_equiv,hour,18,8,5,3,0.625,-85.0,-10.625,71.5
v21,score_min60_lock_equiv,hour,19,8,6,2,0.75,25.0,3.125,69.0
v21,score_min60_lock_equiv,hour,2,8,5,3,0.625,-61.0,-7.625,67.0
v21,score_min60_lock_equiv,hour,20,8,4,4,0.5,-165.0,-20.625,66.5
v21,score_min60_lock_equiv,hour,21,8,7,1,0.875,127.0,15.875,67.5
v21,score_min60_lock_equiv,hour,22,8,7,1,0.875,101.0,12.625,72.0
v21,score_min60_lock_equiv,hour,23,8,8,0,1.0,238.0,29.75,69.0
v21,score_min60_lock_equiv,hour,3,8,3,5,0.375,-265.0,-33.125,66.0
v21,score_min60_lock_equiv,hour,4,10,7,3,0.7,-40.0,-4.0,70.5
v21,score_min60_lock_equiv,hour,5,12,10,2,0.8333333333333334,142.0,11.833333333333334,68.0
v21,score_min60_lock_equiv,hour,6,8,5,3,0.625,-40.0,-5.0,63.5
v21,score_min60_lock_equiv,hour,7,8,8,0,1.0,266.0,33.25,64.0
v21,score_min60_lock_equiv,hour,8,6,2,4,0.3333333333333333,-235.0,-39.166666666666664,70.5
v21,score_min60_lock_equiv,hour,9,8,7,1,0.875,128.0,16.0,69.0
v21,score_min60_lock_equiv,ask,ask<=70,139,101,38,0.7266187050359713,743.0,5.345323741007194,65.0
v21,score_min60_lock_equiv,ask,ask<=80,59,40,19,0.6779661016949152,-486.0,-8.23728813559322,73.0
v21,score_min60_lock_equiv,ask,ask<=95,20,20,0,1.0,277.0,13.85,83.5
v21,score_min60_lock_equiv,time,sec<=300,3,3,0,1.0,47.0,15.666666666666666,87.0
v21,score_min60_lock_equiv,time,sec<=600,41,30,11,0.7317073170731707,-41.0,-1.0,72.0
v21,score_min60_lock_equiv,time,sec<=900,174,128,46,0.735632183908046,528.0,3.0344827586206895,67.0
v21,brownian70_skip_book_conflict,split,holdout,42,35,7,0.8333333333333334,128.0,3.0476190476190474,79.0
v21,brownian70_skip_book_conflict,split,train,126,95,31,0.753968253968254,-422.0,-3.3492063492063493,76.0
