policy_id,policy_hash,slice,rows,markets,entered_rows,skipped_rows,wins,losses,win_rate,net_pnl_cents,net_pnl_dollars,net_cents_per_entered_contract,net_cents_per_observed_row,v28_net_pnl_cents,successor_fv_only_net_pnl_cents,book_only_net_pnl_cents,always_skip_net_pnl_cents,delta_net_cents_vs_v28,delta_net_cents_vs_successor_fv_only,delta_net_cents_vs_book_only,delta_net_cents_vs_always_skip,pct_delta_vs_v28,max_drawdown_cents,worst_loss_streak,remove_best_1_market_net_pnl_cents,market_level_mean_net_cents,market_level_lcb_net_cents
v28s_live_pnl_midband_no_fade_yes_v019,5bf8d66dbe2b31e01d38abe8a0238e68,all_joined_rows,16302,189,37,16265,30,7,0.8108,260.000000,2.600000,7.027027,0.015949,-36094.400000,-38668.400000,0.000000,0.000000,36354.400000,38928.400000,260.000000,260.000000,100.7203,481.000000,6,35.000000,1.375661,-2.468179
v28s_live_pnl_midband_no_fade_yes_v019,5bf8d66dbe2b31e01d38abe8a0238e68,primary_live_forward_rows_after_policy_hash,314,12,3,311,3,0,1.0000,70.000000,0.700000,23.333333,0.222930,-692.300000,-1198.600000,0.000000,0.000000,762.300000,1268.600000,70.000000,70.000000,110.1112,0.000000,0,41.000000,5.833333,0.715088
v28s_live_pnl_midband_no_fade_yes_v019,5bf8d66dbe2b31e01d38abe8a0238e68,diagnostic_rows_not_primary_credit,15988,189,34,15954,27,7,0.7941,190.000000,1.900000,5.588235,0.011884,-35402.100000,-37469.800000,0.000000,0.000000,35592.100000,37659.800000,190.000000,190.000000,100.5367,481.000000,6,-35.000000,1.005291,-2.823482
