dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
all_heartbeats,v28_live_surface,block10,0,1917,-0.0017503889784043214,-0.006511469510245116
all_heartbeats,v28_live_surface,block10,1,1919,0.0012004007585576792,0.0046548479543104815
all_heartbeats,v28_live_surface,block10,2,1921,0.0007429185967910146,0.022551208821677937
all_heartbeats,v28_live_surface,block10,3,1921,-0.002296350532426994,-0.009308557899999959
all_heartbeats,v28_live_surface,block10,4,1858,-0.0005500649284032044,-0.005718006636121986
all_heartbeats,v28_live_surface,block10,5,1862,-0.0011949251579697895,0.012998590448184744
all_heartbeats,v28_live_surface,block10,6,1919,-0.0027806564222845054,-0.0075667023541360345
all_heartbeats,v28_live_surface,block10,7,1899,-0.002556436808255916,-0.011442638619854284
all_heartbeats,v28_live_surface,block10,8,1922,-0.0022075333885421683,-0.011210348450915009
all_heartbeats,v28_live_surface,block10,9,1883,-0.0017750093863493632,-0.0023093901796255034
all_heartbeats,v28_live_surface,block20,0,984,-0.0023525072407463155,-0.011458567296188993
all_heartbeats,v28_live_surface,block20,1,933,-0.0011153574991497606,-0.001293951588092035
all_heartbeats,v28_live_surface,block20,2,989,0.002426829055122398,0.010819435467599503
all_heartbeats,v28_live_surface,block20,3,930,-0.00010383320413315245,-0.0019008262936924814
all_heartbeats,v28_live_surface,block20,4,992,-0.001461757375133238,-0.011334445758985623
all_heartbeats,v28_live_surface,block20,5,929,0.003097104349373214,0.058734814143548975
all_heartbeats,v28_live_surface,block20,6,988,-0.0008870165026954036,-0.0036102757950715603
all_heartbeats,v28_live_surface,block20,7,933,-0.0037887642745222105,-0.015342751597394566
all_heartbeats,v28_live_surface,block20,8,986,0.00012674642994775498,-0.0035146005937579106
all_heartbeats,v28_live_surface,block20,9,872,-0.0013153585056210615,-0.008209472642740079
all_heartbeats,v28_live_surface,block20,10,930,0.00046722787114694686,0.02770688902863494
all_heartbeats,v28_live_surface,block20,11,932,-0.002853511335092776,-0.001678145259774999
all_heartbeats,v28_live_surface,block20,12,931,-0.003150414328993184,-0.012705557404634304
all_heartbeats,v28_live_surface,block20,13,988,-0.002432230702501398,-0.0027243197103972716
all_heartbeats,v28_live_surface,block20,14,934,-0.0017720688475149904,-0.010282631564239308
all_heartbeats,v28_live_surface,block20,15,965,-0.003315607456268327,-0.012565381200107584
all_heartbeats,v28_live_surface,block20,16,929,-0.0004181492518698371,-0.00540936884130655
all_heartbeats,v28_live_surface,block20,17,993,-0.0038815896453081727,-0.016637448206530625
all_heartbeats,v28_live_surface,block20,18,931,-0.0009761467044533401,-0.003033591633742616
all_heartbeats,v28_live_surface,block20,19,952,-0.002556250097321189,-0.0016011637575845672
all_heartbeats,v38_long60_antipersist,block10,0,1917,-0.0006157425036047992,-0.0017806502965594384
all_heartbeats,v38_long60_antipersist,block10,1,1919,-0.0001510571421106388,-0.0023185077100784657
all_heartbeats,v38_long60_antipersist,block10,2,1921,0.00013664834084659017,0.0006735795008797063
all_heartbeats,v38_long60_antipersist,block10,3,1921,0.0006565273139846894,0.002193863235081306
all_heartbeats,v38_long60_antipersist,block10,4,1858,-0.0005915164889276903,-0.001482579424320396
all_heartbeats,v38_long60_antipersist,block10,5,1862,0.0008177696698487003,0.0018566264370311614
all_heartbeats,v38_long60_antipersist,block10,6,1919,-0.00024571940901277345,-0.00030367834267763794
all_heartbeats,v38_long60_antipersist,block10,7,1899,-0.0002168604731965923,-0.0005263463363446852
all_heartbeats,v38_long60_antipersist,block10,8,1922,0.00028135491891814746,0.0012491602331281548
all_heartbeats,v38_long60_antipersist,block10,9,1883,-0.00046495268437335424,-0.002282683836854593
all_heartbeats,v38_long60_antipersist,block20,0,984,-0.0003736043145269041,-0.000514026846054616
all_heartbeats,v38_long60_antipersist,block20,1,933,-0.0008711165422464195,-0.0031165103986993126
all_heartbeats,v38_long60_antipersist,block20,2,989,-0.00039642677700096884,-0.0024672689101724044
all_heartbeats,v38_long60_antipersist,block20,3,930,0.00010987895348782417,-0.002160308971484004
all_heartbeats,v38_long60_antipersist,block20,4,992,0.0012411997366614247,0.003742907143887364
all_heartbeats,v38_long60_antipersist,block20,5,929,-0.001042808047364785,-0.002603894150211561
all_heartbeats,v38_long60_antipersist,block20,6,988,0.0007323744327678294,0.002395904020739137
all_heartbeats,v38_long60_antipersist,block20,7,933,0.0005762090360020844,0.001979912220901381
all_heartbeats,v38_long60_antipersist,block20,8,986,-0.0007640372395378847,-0.0024503465201863306
all_heartbeats,v38_long60_antipersist,block20,9,872,-0.00039644142000377913,-0.0003882923182150777
all_heartbeats,v38_long60_antipersist,block20,10,930,0.0001619857963220117,-0.0005621331484643166
all_heartbeats,v38_long60_antipersist,block20,11,932,0.0014721462818442221,0.004270195551313305
all_heartbeats,v38_long60_antipersist,block20,12,931,0.00011547232828448828,0.0007707177575290158
all_heartbeats,v38_long60_antipersist,block20,13,988,-0.0005860731614659997,-0.0013160900524877284
all_heartbeats,v38_long60_antipersist,block20,14,934,-0.0009138712601000076,-0.0027749115065462404
all_heartbeats,v38_long60_antipersist,block20,15,965,0.0004577592936094027,0.0016499851340888716
all_heartbeats,v38_long60_antipersist,block20,16,929,0.00029149003350179004,0.0012504815229087973
all_heartbeats,v38_long60_antipersist,block20,17,993,0.0002718730242069617,0.0012479241020040277
all_heartbeats,v38_long60_antipersist,block20,18,931,0.00013106573589724557,0.00027707772535900954
all_heartbeats,v38_long60_antipersist,block20,19,952,-0.0010478236394909357,-0.004785980070490026
minute_bucket,v28_live_surface,block10,0,494,-0.002673314381243602,-0.012194146149500873
minute_bucket,v28_live_surface,block10,1,493,0.0005401577045574535,0.0008267430195333381
minute_bucket,v28_live_surface,block10,2,495,0.0008858425686195937,0.003429351810237735
minute_bucket,v28_live_surface,block10,3,495,-0.0034139398216473382,-0.015297779816552004
minute_bucket,v28_live_surface,block10,4,480,-0.0014712154585687642,-0.008561086188867029
minute_bucket,v28_live_surface,block10,5,481,-0.0027496291187955324,-0.0029561650693030184
minute_bucket,v28_live_surface,block10,6,493,-0.003533031119061225,-0.011131821973153433
minute_bucket,v28_live_surface,block10,7,489,-0.0031579870004909555,-0.01305344867213426
minute_bucket,v28_live_surface,block10,8,495,-0.0018642708548060744,-0.010796423025676571
minute_bucket,v28_live_surface,block10,9,483,-0.002954951446808768,-0.007320162384691464
minute_bucket,v28_live_surface,block20,0,254,-0.0028308165214934178,-0.013800094307247712
minute_bucket,v28_live_surface,block20,1,240,-0.0025066246161459804,-0.010494517682552051
minute_bucket,v28_live_surface,block20,2,254,0.002071996731610598,0.007289488143937761
minute_bucket,v28_live_surface,block20,3,239,-0.0010878218472060996,-0.006041613723557715
minute_bucket,v28_live_surface,block20,4,255,-0.0012196913822305755,-0.01104818584451256
minute_bucket,v28_live_surface,block20,5,240,0.0031229723913979435,0.018811735568409982
minute_bucket,v28_live_surface,block20,6,255,-0.0018694359633851104,-0.011256096943320748
minute_bucket,v28_live_surface,block20,7,240,-0.005054975171050885,-0.01959206786936013
minute_bucket,v28_live_surface,block20,8,254,-0.0010165044265114942,-0.007228729988353055
minute_bucket,v28_live_surface,block20,9,226,-0.0019822623707037856,-0.010058513069090558
minute_bucket,v28_live_surface,block20,10,240,-0.0023236670331085174,0.007757144380036718
minute_bucket,v28_live_surface,block20,11,241,-0.003173823726948563,-0.013625020952462985
minute_bucket,v28_live_surface,block20,12,239,-0.00348751744903808,-0.014469150990840562
minute_bucket,v28_live_surface,block20,13,254,-0.0035758569739255397,-0.007991579314778563
minute_bucket,v28_live_surface,block20,14,240,-0.0025682599198089406,-0.012754602686026129
minute_bucket,v28_live_surface,block20,15,249,-0.0037263986445218167,-0.013341492996093884
minute_bucket,v28_live_surface,block20,16,240,9.480171135775595e-05,-0.00511134283716369
minute_bucket,v28_live_surface,block20,17,255,-0.003708103858254347,-0.016147086732512195
minute_bucket,v28_live_surface,block20,18,239,-0.0014205772701003094,-0.006094263154837631
minute_bucket,v28_live_surface,block20,19,244,-0.004457883529732282,-0.008520940728687476
minute_bucket,v38_long60_antipersist,block10,0,494,-0.000539720885337186,-0.001484096476022101
minute_bucket,v38_long60_antipersist,block10,1,493,-5.8498792082167794e-05,-0.0017063465900087893
minute_bucket,v38_long60_antipersist,block10,2,495,0.00012448491318364785,0.0005933257457125252
