rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,25,0.3968253968253968,-21.74,16.52,18,7,-16.78,-2.82,-2.1400000000000006,15,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,28,0.4444444444444444,-22.839999999999996,15.420000000000002,19,9,-15.799999999999999,-2.82,-4.22,16,6,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,22,0.3492063492063492,-23.62,14.639999999999997,15,7,-17.34,-2.82,-3.460000000000001,14,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=5,26,0.4126984126984127,-24.759999999999998,13.5,16,10,-10.379999999999997,-9.120000000000001,-5.260000000000001,13,5,8,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,15,0.23809523809523808,-24.779999999999998,13.48,10,5,-17.8,-2.82,-4.160000000000001,8,6,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=5,24,0.38095238095238093,-25.039999999999996,13.220000000000002,15,9,-12.739999999999997,-9.120000000000001,-3.1800000000000006,13,5,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,7,0.1111111111111111,-25.599999999999998,12.66,7,0,-16.919999999999998,-2.42,-6.260000000000001,3,4,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND exit_sigma_t_dollars>=75,11,0.1746031746031746,-25.959999999999997,12.3,7,4,-16.88,-2.82,-6.260000000000001,5,6,0,True,True
suppress_collapse_exit_if_position_seconds<=45 AND fair_minus_exit_bid_cents>=5,15,0.23809523809523808,-26.279999999999998,11.98,12,3,-13.78,-9.56,-2.9400000000000004,8,1,6,True,True
suppress_collapse_exit_if_entry_to_exit_loss_cents>=10 AND fair_minus_exit_bid_cents>=5,30,0.47619047619047616,-26.459999999999997,11.8,16,14,-14.159999999999998,-9.120000000000001,-3.1800000000000006,19,5,6,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,20,0.31746031746031744,-26.74,11.52,15,5,-17.68,-6.92,-2.1400000000000006,14,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,29,0.4603174603174603,-27.220000000000002,11.039999999999996,21,8,-17.28,-8.28,-1.66,18,3,8,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,7,0.1111111111111111,-27.419999999999995,10.840000000000003,6,1,-13.099999999999998,-8.06,-6.260000000000001,5,2,0,True,True
suppress_collapse_exit_if_position_seconds<=180 AND fair_minus_exit_bid_cents>=5,29,0.4603174603174603,-27.44,10.819999999999997,16,13,-13.059999999999997,-9.120000000000001,-5.260000000000001,16,5,8,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=90,35,0.5555555555555556,-27.78,10.479999999999997,23,12,-16.62,-7.18,-3.9800000000000004,19,6,10,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,7,0.1111111111111111,-28.119999999999994,10.140000000000004,5,2,-18.64,-3.2200000000000006,-6.260000000000001,1,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=20,12,0.19047619047619047,-28.279999999999998,9.98,7,5,-19.200000000000003,-2.82,-6.260000000000001,6,6,0,True,True
suppress_collapse_exit_if_position_seconds<=90 AND fair_minus_exit_bid_cents>=5,21,0.3333333333333333,-28.32,9.939999999999998,13,8,-14.6,-8.46,-5.260000000000001,9,4,8,True,True
suppress_collapse_exit_if_position_seconds<=45 AND fair_minus_exit_bid_cents>=0,31,0.49206349206349204,-28.540000000000006,9.719999999999992,20,11,-15.72,-9.08,-3.74,16,5,10,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,23,0.36507936507936506,-28.7,9.559999999999999,15,8,-16.02,-8.46,-4.22,13,4,6,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,22,0.3492063492063492,-28.86,9.399999999999999,16,6,-17.720000000000002,-6.92,-4.22,14,2,6,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,9,0.14285714285714285,-28.980000000000004,9.279999999999994,9,0,-14.279999999999998,-12.559999999999999,-2.1400000000000006,5,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,24,0.38095238095238093,-28.999999999999996,9.260000000000002,16,8,-16.32,-8.46,-4.22,14,4,6,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=180,42,0.6666666666666666,-29.1,9.159999999999997,25,17,-15.079999999999998,-7.84,-6.18,23,7,12,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,14,0.2222222222222222,-29.319999999999997,8.940000000000001,9,5,-15.319999999999997,-8.46,-5.54,6,4,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,7,0.1111111111111111,-29.339999999999996,8.920000000000002,5,2,-15.019999999999998,-8.06,-6.260000000000001,5,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND position_seconds<=45,21,0.3333333333333333,-29.439999999999994,8.820000000000004,17,4,-16.02,-11.28,-2.1400000000000006,15,2,4,True,True
suppress_collapse_exit_if_position_seconds<=45 AND entry_to_exit_loss_cents>=10,30,0.47619047619047616,-29.480000000000004,8.779999999999994,19,11,-17.42,-9.08,-2.98,19,5,6,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_entry_basis_cents>=65,8,0.12698412698412698,-29.559999999999995,8.700000000000003,6,2,-14.839999999999998,-8.46,-6.260000000000001,4,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND position_seconds<=45,33,0.5238095238095238,-29.66,8.599999999999998,21,12,-16.84,-9.08,-3.74,18,5,10,True,True
