dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec60_else_score_min60,hour,16,8,5,3,0.625,-69.0,-8.625,68.0
current,hazard45_sec60_else_score_min60,hour,17,12,9,3,0.75,64.0,5.333333333333333,69.0
current,hazard45_sec60_else_score_min60,hour,18,12,9,3,0.75,40.0,3.3333333333333335,71.0
current,hazard45_sec60_else_score_min60,hour,19,12,11,1,0.9166666666666666,246.0,20.5,68.5
current,hazard45_sec60_else_score_min60,hour,2,14,9,5,0.6428571428571429,-84.0,-6.0,67.5
current,hazard45_sec60_else_score_min60,hour,20,12,9,3,0.75,68.0,5.666666666666667,67.0
current,hazard45_sec60_else_score_min60,hour,21,12,10,2,0.8333333333333334,102.0,8.5,73.0
current,hazard45_sec60_else_score_min60,hour,22,12,9,3,0.75,48.0,4.0,67.5
current,hazard45_sec60_else_score_min60,hour,23,12,11,1,0.9166666666666666,280.0,23.333333333333332,64.5
current,hazard45_sec60_else_score_min60,hour,3,16,10,6,0.625,-163.0,-10.1875,70.5
current,hazard45_sec60_else_score_min60,hour,4,16,13,3,0.8125,169.0,10.5625,68.5
current,hazard45_sec60_else_score_min60,hour,5,16,12,4,0.75,106.0,6.625,66.5
current,hazard45_sec60_else_score_min60,hour,6,15,14,1,0.9333333333333333,355.0,23.666666666666668,66.0
current,hazard45_sec60_else_score_min60,hour,7,12,10,2,0.8333333333333334,172.0,14.333333333333334,65.5
current,hazard45_sec60_else_score_min60,hour,8,12,5,7,0.4166666666666667,-348.0,-29.0,69.0
current,hazard45_sec60_else_score_min60,hour,9,12,7,5,0.5833333333333334,-167.0,-13.916666666666666,69.0
current,hazard45_sec60_else_score_min60,ask,ask<=60,15,10,5,0.6666666666666666,111.0,7.4,58.0
current,hazard45_sec60_else_score_min60,ask,ask<=70,172,123,49,0.7151162790697675,677.0,3.936046511627907,66.0
current,hazard45_sec60_else_score_min60,ask,ask<=80,86,73,13,0.8488372093023255,706.0,8.209302325581396,74.0
current,hazard45_sec60_else_score_min60,ask,ask<=95,19,14,5,0.7368421052631579,-226.0,-11.894736842105264,83.0
current,hazard45_sec60_else_score_min60,time,sec<=300,4,3,1,0.75,-10.0,-2.5,74.0
current,hazard45_sec60_else_score_min60,time,sec<=600,47,35,12,0.7446808510638298,91.0,1.9361702127659575,70.0
current,hazard45_sec60_else_score_min60,time,sec<=900,241,182,59,0.7551867219917012,1187.0,4.925311203319502,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,98,69,29,0.7040816326530612,161.0,1.6428571428571428,65.5
current,hazard45_sec600_else_logit_thresh55_edge15,selector,hazard_primary_0.45,148,112,36,0.7567567567567568,685.0,4.628378378378378,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,holdout,53,38,15,0.7169811320754716,-12.0,-0.22641509433962265,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,train,146,108,38,0.7397260273972602,671.0,4.595890410958904,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,validation,47,35,12,0.7446808510638298,187.0,3.978723404255319,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,side,no,125,89,36,0.712,104.0,0.832,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,side,yes,121,92,29,0.7603305785123967,742.0,6.132231404958677,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,0,8,5,3,0.625,-51.0,-6.375,67.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,1,7,5,2,0.7142857142857143,2.0,0.2857142857142857,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,10,10,9,1,0.9,217.0,21.7,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,11,11,8,3,0.7272727272727273,6.0,0.5454545454545454,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,12,11,10,1,0.9090909090909091,195.0,17.727272727272727,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,13,11,6,5,0.5454545454545454,-166.0,-15.090909090909092,65.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,14,10,8,2,0.8,91.0,9.1,67.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,15,8,5,3,0.625,-54.0,-6.75,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,16,8,5,3,0.625,-72.0,-9.0,68.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,17,11,9,2,0.8181818181818182,138.0,12.545454545454545,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,18,11,8,3,0.7272727272727273,31.0,2.8181818181818183,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,19,9,8,1,0.8888888888888888,149.0,16.555555555555557,71.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,2,12,9,3,0.75,65.0,5.416666666666667,67.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,20,11,8,3,0.7272727272727273,55.0,5.0,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,21,10,8,2,0.8,56.0,5.6,71.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,22,11,9,2,0.8181818181818182,135.0,12.272727272727273,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,23,10,9,1,0.9,204.0,20.4,66.5
