lock_name,resolved,wins,losses,accuracy,net_pnl_cents,median_ask,median_score,median_adverse15
book_early_score_gap020_wait,88,61,27,0.6931818181818182,-234.0,69.0,0.6692708152488291,0.0
book_hour04_v2_switch,85,52,33,0.611764705882353,-311.0,63.0,0.5711670574985338,0.0
book_margin,105,73,32,0.6952380952380952,135.0,64.0,0.5874679998840884,0.0
book_margin_adverse100,69,46,23,0.6666666666666666,-72.0,64.0,0.6042047917758214,0.0
book_margin_delayed_adv100_brownian55,81,55,26,0.6790123456790124,-261.0,67.0,0.6418112458936883,0.0
book_margin_early,101,70,31,0.693069306930693,105.0,64.0,0.5864780457304634,0.0
book_margin_gap015,89,61,28,0.6853932584269663,109.0,64.0,0.577831203801631,0.0
book_p80_ask90_frontier,40,34,6,0.85,8.0,83.0,0.7679908752753111,0.0
book_p80_profit_frontier,41,34,7,0.8292682926829268,-86.0,83.0,0.7614973541267611,0.0
book_refmargin_score_switch,78,55,23,0.7051282051282052,-115.0,69.0,0.6692708152488291,0.0
book_score_gap020_wait,85,58,27,0.6823529411764706,-315.0,69.0,0.6678707785004474,0.0
challenger,128,87,41,0.6796875,142.0,64.5,0.6380287163443678,0.0
frontier_v2,115,71,44,0.6173913043478261,-169.0,61.0,0.5859108516083694,0.0
frontier_v2_continuous,106,65,41,0.6132075471698113,-216.0,61.0,0.5914477145782551,0.0
hazard_fallback_logit55,68,48,20,0.7058823529411765,-70.0,68.0,0.6539535189887775,0.0
hazard_fallback_logit55_wait8,61,42,19,0.6885245901639344,-228.0,71.0,0.6847975942998622,0.0
hazard_fallback_score60,64,46,18,0.71875,-16.0,69.0,0.6693283735914286,0.0
hazard_mean_touch80,69,50,19,0.7246376811594203,-8.0,71.0,0.680627813963736,0.0
hazard_mean_touch80_ask76,53,37,16,0.6981132075471698,-110.0,70.0,0.6745064658999467,0.0
impulse_reversal_book_margin_fade,58,33,25,0.5689655172413793,83.0,62.0,0.4781823210798517,4.654999999998836
kinetic_combo_price_guard,100,67,33,0.67,192.0,63.0,0.6289990509896811,0.0
kinetic_guard,126,89,37,0.7063492063492064,72.0,67.5,0.6455554209488715,0.0
kinetic_path_confirm,118,89,29,0.7542372881355932,-7.0,74.0,0.7065614988451816,0.0
kinetic_price_guard,107,69,38,0.6448598130841121,11.0,62.0,0.6144818703325239,0.0
kinetic_touch,134,89,45,0.664179104477612,-285.0,66.0,0.6243513380620765,0.0
logit_blend_edge10,75,48,27,0.64,131.0,56.0,0.5748180747594641,0.0
logit_blend_thresh55_edge15,69,49,20,0.7101449275362319,-43.0,68.0,0.6538130567402669,0.0
original,137,92,45,0.6715328467153284,108.0,64.0,0.6320598429571216,0.0
score_min60,102,72,30,0.7058823529411765,-184.0,69.0,0.6775671399318413,0.0
score_min60_gap020,91,64,27,0.7032967032967034,-180.0,69.0,0.6707859686824099,0.0
touch_hazard,146,87,59,0.5958904109589042,-98.0,56.0,0.49854478529599544,1.9950000000026196
touch_overlay,138,84,54,0.6086956521739131,119.0,56.0,0.4913019103153501,4.474999999998545
v2_wait_score_min60_brownian70_early,97,69,28,0.711340206185567,-107.0,69.0,0.6713269063290632,0.0
v2_wait_score_min60_early,101,71,30,0.7029702970297029,-195.0,69.0,0.6713269063290632,0.0
