market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY081630-30,yes,determined,,2026-05-08T20:30:00Z,2026-05-08T20:30:00Z,active,2026-05-08 16:25:57,2026-05-08 16:29:58,17,kalshi_api
KXBTC15M-26MAY081645-45,no,determined,,2026-05-08T20:45:00Z,2026-05-08T20:45:00Z,active,2026-05-08 16:30:05,2026-05-08 16:45:14,61,kalshi_api
KXBTC15M-26MAY081700-00,no,finalized,2026-05-08T21:00:16.956133Z,2026-05-08T21:00:00Z,2026-05-08T21:00:00Z,active,2026-05-08 16:45:17,2026-05-08 17:00:15,60,kalshi_api
KXBTC15M-26MAY081715-15,yes,finalized,2026-05-08T21:15:17.055269Z,2026-05-08T21:15:00Z,2026-05-08T21:15:00Z,active,2026-05-08 17:00:16,2026-05-08 17:15:17,60,kalshi_api
KXBTC15M-26MAY081730-30,yes,finalized,2026-05-08T21:30:16.955474Z,2026-05-08T21:30:00Z,2026-05-08T21:30:00Z,active,2026-05-08 17:15:17,2026-05-08 17:25:48,42,kalshi_api
