market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY072200-00,no,finalized,2026-05-08T02:00:14.955896Z,2026-05-08T02:00:00Z,2026-05-08T02:00:00Z,active,2026-05-07 21:57:48,2026-05-07 22:00:04,18,kalshi_api
KXBTC15M-26MAY072215-15,,active,,2026-05-08T02:15:00Z,2026-05-08T02:15:00Z,active,2026-05-07 22:00:15,2026-05-07 22:00:19,2,kalshi_api
