row_id,market_ticker,decision_ts_utc,market_close_ts_utc,source_type,source_reason,source_quality_tier,side,allowed_for_training,allowed_for_validation,allowed_for_holdout,allowed_for_forward_promotion,target_y_yes_win,target_v28_p_yes,target_brier_yes,target_logloss_yes,row_is_posthoc,row_is_simulated,v28_logit_yes,v28_p_yes_centered,v28_abs_logit_yes,v28_side_probability,seconds_to_close,minutes_to_close,time_frac_15m,late_window_lte_180s,final_avg_effective_horizon_minutes,final_avg_variance_compression,final_avg_uncertainty_scale,final_avg_elapsed_window_fraction,final_avg_sigma_proxy_dollars,final_avg_d_sigma_proxy,final_avg_abs_d_sigma_proxy,sigma_t_dollars,log1p_sigma_t_dollars,sigma_t_missing,recross_hazard_score,recross_hazard_missing,recross_hazard_high,ask_cents,ask_missing,ask_frac,edge_cents,edge_missing,side_is_yes,source_is_entry,source_is_rejected_actionable
c3960af0c1c937ade34fbba2,KXBTC15M-26MAY051300-00,2026-05-05T12:50:05.753Z,2026-05-05T13:00:00Z,entry,approved_entry,approved_entry_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.867375,0.017589390625,0.1422838697624241,1,0,1.8779458122855657,0.367375,1.8779458122855657,0.867375,594.247,9.904116666666665,0.6602744444444444,0,8.904116666666665,0.8990318840482157,0.9481729188540535,0.0,109.07339030647678,0.0,0.0,115.035336,4.753894765408558,0,0.36657919808610573,0,1,81.0,0,0.81,2.23752,0,1,1,0
265d194c09bdc43d81f0e061,KXBTC15M-26MAY051330-30,2026-05-05T13:21:10.932Z,2026-05-05T13:30:00Z,entry,approved_entry,approved_entry_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.879391,0.014546530880999992,0.128525656538423,1,0,1.9866757140694036,0.37939100000000003,1.9866757140694036,0.879391,529.068,8.8178,0.5878533333333333,0,7.8178,0.8865930277393455,0.9415906901299234,0.0,100.1751800589836,0.0,0.0,106.389306,4.676460605422575,0,0.30242891547156237,0,1,82.0,0,0.82,2.439055,0,1,1,0
aba85683146c5693998892e3,KXBTC15M-26MAY051415-15,2026-05-05T14:11:18.433Z,2026-05-05T14:15:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.996384,1.3075455999999658e-05,0.0036225535311488226,1,1,5.618764282921071,0.49638400000000005,5.618764282921071,0.003616,221.567,3.6927833333333333,0.24618555555555557,0,2.6927833333333333,0.7292015507724525,0.8539329896265002,0.0,57.24515023010716,0.0,0.0,67.037052,4.2200524391345615,0,0.014400165595452295,0,0,1.0,0,0.01,-3.138366,0,0,0,1
aae377860d54760e93abfde5,KXBTC15M-26MAY051415-15,2026-05-05T14:11:18.433Z,2026-05-05T14:15:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.996384,1.3075455999999658e-05,0.0036225535311488226,1,1,5.618764282921071,0.49638400000000005,5.618764282921071,0.996384,221.567,3.6927833333333333,0.24618555555555557,0,2.6927833333333333,0.7292015507724525,0.8539329896265002,0.0,57.24515023010716,0.0,0.0,67.037052,4.2200524391345615,0,0.014400165595452295,0,0,99.0,0,0.99,-1.861634,0,1,0,1
458239e38cf818c0ee121236,KXBTC15M-26MAY051430-30,2026-05-05T14:15:15.667Z,2026-05-05T14:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.501306,0.251307705636,0.6957625977837681,1,1,0.005224011880372071,0.0013060000000000294,0.005224011880372071,0.498694,884.333,14.738883333333332,0.9825922222222222,0,13.738883333333332,0.9321522548632698,0.9654803233951844,0.0,133.8048279920535,0.0,0.0,138.588871,4.938701466520041,0,1.3031899471925121,0,1,55.0,0,0.55,-9.130608,0,0,0,1
b783f1a7afbaa5a1a9e48ec3,KXBTC15M-26MAY051430-30,2026-05-05T14:19:40.633Z,2026-05-05T14:30:00Z,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.149961,0.022488301521000002,0.16247304819739672,1,1,-1.7349069704943443,-0.350039,1.7349069704943443,0.850039,619.367,10.322783333333332,0.6881855555555555,0,9.322783333333332,0.9031269021436402,0.9503298912186443,0.0,110.799431480148,0.0,0.0,116.590494,4.767208198864004,0,0.41287069208660115,0,1,82.0,0,0.82,-0.496087,0,0,0,1
99d07cc90114e67a3df7b212,KXBTC15M-26MAY051430-30,2026-05-05T14:23:08.582Z,2026-05-05T14:30:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.168026,0.028232736676000004,0.1839540886492199,1,1,-1.5996824609992846,-0.331974,1.5996824609992846,0.831974,411.418,6.856966666666667,0.4571311111111111,0,5.856966666666667,0.8541629194639029,0.9242093482885265,0.0,87.75069427221932,0.0,0.0,94.946772,4.5637935793656395,0,0.2919533460850874,0,1,91.0,0,0.91,-10.802577,0,0,0,1
bc85654a3b210bab67d0e19f,KXBTC15M-26MAY051430-30,2026-05-05T14:15:15.667Z,2026-05-05T14:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,0.0,0.501306,0.251307705636,0.6957625977837681,1,1,0.005224011880372071,0.0013060000000000294,0.005224011880372071,0.501306,884.333,14.738883333333332,0.9825922222222222,0,13.738883333333332,0.9321522548632698,0.9654803233951844,0.0,133.8048279920535,0.0,0.0,138.588871,4.938701466520041,0,1.3031899471925121,0,1,47.0,0,0.47,-0.869392,0,1,0,1
137f72ee2710e48c86f514d7,KXBTC15M-26MAY051445-45,2026-05-05T14:30:16.015Z,2026-05-05T14:45:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.39790899999999996,0.36251357228100006,0.921531943056625,1,1,-0.4141852607500633,-0.10209100000000004,0.4141852607500633,0.602091,883.985,14.733083333333333,0.9822055555555556,0,13.733083333333333,0.9321255451167157,0.9654664909341576,0.0,134.26153072128614,0.0,0.0,139.063895,4.942098711350904,0,1.0748649042363498,0,1,62.0,0,0.62,-5.790886,0,0,0,1
f089201fe0f7098bf7f22137,KXBTC15M-26MAY051445-45,2026-05-05T14:30:16.015Z,2026-05-05T14:45:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.397909,0.3625135722809999,0.9215319430566249,1,1,-0.41418526075006296,-0.10209099999999999,0.41418526075006296,0.397909,883.985,14.733083333333333,0.9822055555555556,0,13.733083333333333,0.9321255451167157,0.9654664909341576,0.0,134.26153072128614,0.0,0.0,139.063895,4.942098711350904,0,1.0748649042363498,0,1,39.0,0,0.39,-3.209114,0,1,0,1
