row_id,dataset_role,source_file,source_line_or_offset,source_type,source_reason,source_quality_tier,market_ticker,market_close_ts_utc,decision_ts_utc,decision_ts_basis,side,side_or_axis,strike,strike_source,seconds_to_close,v28_p_side,v28_p_yes,v28_p_no,v28_fair_yes_cents,v28_fair_no_cents,v28_side_outcome,y_yes_win,brier_side,brier_yes,logloss_yes,bucket,actionable,edge_cents,ask_cents,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,is_pre_resolution,is_pre_resolution_registered,is_recomputed_after_resolution,is_backfilled,is_simulated,is_sidecar,is_diagnostic_only,allowed_for_training,allowed_for_validation,allowed_for_holdout,allowed_for_forward_promotion,exclusion_reason
c3960af0c1c937ade34fbba2,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,2,entry,approved_entry,approved_entry_from_posthoc_calibration_report,KXBTC15M-26MAY051300-00,2026-05-05T13:00:00Z,2026-05-05T12:50:05.753Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,594.247,0.867375,0.867375,0.132625,86.7375,13.2625,1.0,1.0,0.017589390625,0.017589390625,0.1422838697624241,85_90,True,2.23752,81.0,115.035336,0.36657919808610573,True,36.0,True,False,True,False,False,False,True,True,True,False,False,posthoc_calibration_report_not_forward_registry
265d194c09bdc43d81f0e061,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,3,entry,approved_entry,approved_entry_from_posthoc_calibration_report,KXBTC15M-26MAY051330-30,2026-05-05T13:30:00Z,2026-05-05T13:21:10.932Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,529.068,0.879391,0.879391,0.12060899999999997,87.9391,12.060899999999997,1.0,1.0,0.014546530880999992,0.014546530880999992,0.128525656538423,85_90,True,2.439055,82.0,106.389306,0.30242891547156237,True,0.0,True,False,True,False,False,False,True,True,True,False,False,posthoc_calibration_report_not_forward_registry
aba85683146c5693998892e3,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,4,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051415-15,2026-05-05T14:15:00Z,2026-05-05T14:11:18.433Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,221.567,0.003616,0.996384,0.0036159999999999526,99.6384,0.36159999999999526,0.0,1.0,1.3075455999999998e-05,1.3075455999999658e-05,0.0036225535311488226,00_50,True,-3.138366,1.0,67.037052,0.014400165595452295,False,-2.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
aae377860d54760e93abfde5,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,5,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051415-15,2026-05-05T14:15:00Z,2026-05-05T14:11:18.433Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,221.567,0.996384,0.996384,0.0036159999999999526,99.6384,0.36159999999999526,1.0,1.0,1.3075455999999658e-05,1.3075455999999658e-05,0.0036225535311488226,95_100,True,-1.861634,99.0,67.037052,0.014400165595452295,False,2.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
458239e38cf818c0ee121236,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,6,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051430-30,2026-05-05T14:30:00Z,2026-05-05T14:15:15.667Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,884.333,0.498694,0.501306,0.49869399999999997,50.1306,49.8694,1.0,0.0,0.251307705636,0.251307705636,0.6957625977837681,00_50,True,-9.130608,55.0,138.588871,1.3031899471925121,True,90.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
b783f1a7afbaa5a1a9e48ec3,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,7,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051430-30,2026-05-05T14:30:00Z,2026-05-05T14:19:40.633Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,619.367,0.850039,0.149961,0.850039,14.996100000000002,85.0039,1.0,0.0,0.022488301521000002,0.022488301521000002,0.16247304819739672,85_90,True,-0.496087,82.0,116.590494,0.41287069208660115,True,36.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
99d07cc90114e67a3df7b212,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,8,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051430-30,2026-05-05T14:30:00Z,2026-05-05T14:23:08.582Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,411.418,0.831974,0.168026,0.831974,16.8026,83.1974,1.0,0.0,0.028232736676000004,0.028232736676000004,0.1839540886492199,80_85,True,-10.802577,91.0,94.946772,0.2919533460850874,True,18.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
bc85654a3b210bab67d0e19f,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,9,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051430-30,2026-05-05T14:30:00Z,2026-05-05T14:15:15.667Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,884.333,0.501306,0.501306,0.49869399999999997,50.1306,49.8694,0.0,0.0,0.251307705636,0.251307705636,0.6957625977837681,50_60,True,-0.869392,47.0,138.588871,1.3031899471925121,True,-94.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
137f72ee2710e48c86f514d7,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,10,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051445-45,2026-05-05T14:45:00Z,2026-05-05T14:30:16.015Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,883.985,0.602091,0.39790899999999996,0.602091,39.79089999999999,60.20910000000001,0.0,1.0,0.36251357228100006,0.36251357228100006,0.921531943056625,60_70,True,-5.790886,62.0,139.063895,1.0748649042363498,True,-124.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
f089201fe0f7098bf7f22137,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,11,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051445-45,2026-05-05T14:45:00Z,2026-05-05T14:30:16.015Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,883.985,0.397909,0.397909,0.6020909999999999,39.7909,60.20909999999999,1.0,1.0,0.3625135722809999,0.3625135722809999,0.9215319430566249,00_50,True,-3.209114,39.0,139.063895,1.0748649042363498,True,122.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
