pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
40,15,95,0,-4.47,-7.83,3.36,-0.047053,0.538633,-0.087356,24,71,0.2526,27,68,0.2842,295.98
18,27,95,0,-4.5,-7.83,3.33,-0.047368,0.578447,-0.081889,32,63,0.3368,38,57,0.4,281.57
14,29,95,0,-4.5,-7.83,3.33,-0.047368,0.561427,-0.084371,33,62,0.3474,41,54,0.4316,272.21
17,23,95,0,-4.5,-7.83,3.33,-0.047368,0.549861,-0.086146,31,64,0.3263,38,57,0.4,273.78
15,5,95,0,-4.5,-7.83,3.33,-0.047368,0.423006,-0.11198,22,73,0.2316,65,30,0.6842,147.98
17,15,95,0,-4.51,-7.83,3.32,-0.047474,0.502667,-0.094444,28,67,0.2947,38,57,0.4,255.0
22,4,95,0,-4.51,-7.83,3.32,-0.047474,0.422382,-0.112395,19,76,0.2,69,26,0.7263,140.43
18,31,95,0,-4.52,-7.83,3.31,-0.047579,0.602221,-0.079006,33,62,0.3474,38,57,0.4,284.52
18,28,95,0,-4.53,-7.83,3.3,-0.047684,0.578941,-0.082364,32,63,0.3368,38,57,0.4,281.63
14,14,95,0,-4.53,-7.83,3.3,-0.047684,0.487483,-0.097817,28,67,0.2947,44,51,0.4632,240.08
15,4,95,0,-4.53,-7.83,3.3,-0.047684,0.412461,-0.115609,21,74,0.2211,71,24,0.7474,129.39
19,5,95,0,-4.54,-7.83,3.29,-0.047789,0.428056,-0.111643,21,74,0.2211,64,31,0.6737,152.33
18,16,95,0,-4.56,-7.83,3.27,-0.048,0.508376,-0.094418,28,67,0.2947,38,57,0.4,256.56
16,30,95,0,-4.57,-7.83,3.26,-0.048105,0.583922,-0.082383,33,62,0.3474,39,56,0.4105,280.06
9,13,95,0,-4.59,-7.83,3.24,-0.048316,0.445411,-0.108475,31,64,0.3263,45,50,0.4737,215.72
18,45,95,0,-4.6,-7.83,3.23,-0.048421,0.682764,-0.070919,36,59,0.3789,37,58,0.3895,302.49
18,46,95,0,-4.6,-7.83,3.23,-0.048421,0.682764,-0.070919,36,59,0.3789,37,58,0.3895,302.49
22,5,95,0,-4.61,-7.83,3.22,-0.048526,0.433123,-0.112038,20,75,0.2105,63,32,0.6632,159.34
18,47,95,0,-4.62,-7.83,3.21,-0.048632,0.683057,-0.071197,36,59,0.3789,37,58,0.3895,302.5
12,13,95,0,-4.63,-7.83,3.2,-0.048737,0.461879,-0.105519,29,66,0.3053,45,50,0.4737,224.51
18,48,95,0,-4.64,-7.83,3.19,-0.048842,0.683357,-0.071474,36,59,0.3789,37,58,0.3895,302.5
16,22,95,0,-4.67,-7.83,3.16,-0.049158,0.545525,-0.090111,31,64,0.3263,39,56,0.4105,271.35
22,16,95,0,-4.67,-7.83,3.16,-0.049158,0.519049,-0.094708,26,69,0.2737,35,60,0.3684,277.21
37,4,95,0,-4.67,-7.83,3.16,-0.049158,0.428783,-0.114645,18,77,0.1895,65,30,0.6842,150.56
14,5,95,0,-4.67,-7.83,3.16,-0.049158,0.421206,-0.116708,22,73,0.2316,66,29,0.6947,145.77
15,56,95,0,-4.69,-7.83,3.14,-0.049368,0.697727,-0.070756,38,57,0.4,37,58,0.3895,300.06
18,20,95,0,-4.69,-7.83,3.14,-0.049368,0.542072,-0.091073,30,65,0.3158,38,57,0.4,267.02
16,15,95,0,-4.7,-7.83,3.13,-0.049474,0.500942,-0.098761,28,67,0.2947,39,56,0.4105,252.89
