pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
22,12,95,0,-1.95,-7.83,5.88,-0.020526,0.502058,-0.040884,27,68,0.2842,43,52,0.4526,250.48
19,28,95,0,-2.0,-7.83,5.83,-0.021053,0.575192,-0.036601,33,62,0.3474,38,57,0.4,282.4
30,12,95,0,-2.0,-7.83,5.83,-0.021053,0.508265,-0.041421,26,69,0.2737,35,60,0.3684,274.57
31,12,95,0,-2.0,-7.83,5.83,-0.021053,0.508265,-0.041421,26,69,0.2737,35,60,0.3684,274.57
32,12,95,0,-2.0,-7.83,5.83,-0.021053,0.508265,-0.041421,26,69,0.2737,35,60,0.3684,274.57
33,12,95,0,-2.0,-7.83,5.83,-0.021053,0.508265,-0.041421,26,69,0.2737,35,60,0.3684,274.57
34,12,95,0,-2.0,-7.83,5.83,-0.021053,0.508265,-0.041421,26,69,0.2737,35,60,0.3684,274.57
29,12,95,0,-2.04,-7.83,5.79,-0.021474,0.50756,-0.042308,26,69,0.2737,36,59,0.3789,272.52
27,12,95,0,-2.07,-7.83,5.76,-0.021789,0.507052,-0.042973,26,69,0.2737,36,59,0.3789,271.89
28,12,95,0,-2.07,-7.83,5.76,-0.021789,0.507052,-0.042973,26,69,0.2737,36,59,0.3789,271.89
21,12,95,0,-2.08,-7.83,5.75,-0.021895,0.500543,-0.043742,27,68,0.2842,43,52,0.4526,244.93
19,55,95,0,-2.09,-7.83,5.74,-0.022,0.711927,-0.030902,38,57,0.4,35,60,0.3684,311.01
19,56,95,0,-2.11,-7.83,5.72,-0.02221,0.712446,-0.031175,38,57,0.4,35,60,0.3684,311.02
26,12,95,0,-2.13,-7.83,5.7,-0.022421,0.506092,-0.044302,26,69,0.2737,36,59,0.3789,271.68
19,57,95,0,-2.16,-7.83,5.67,-0.022737,0.713762,-0.031855,38,57,0.4,35,60,0.3684,311.03
25,12,95,0,-2.16,-7.83,5.67,-0.022737,0.505778,-0.044954,26,69,0.2737,37,58,0.3895,271.09
19,12,95,0,-2.19,-7.83,5.64,-0.023053,0.491983,-0.046857,28,67,0.2947,44,51,0.4632,240.85
24,12,95,0,-2.22,-7.83,5.61,-0.023368,0.504987,-0.046275,26,69,0.2737,38,57,0.4,267.58
18,28,95,0,-2.24,-7.83,5.59,-0.023579,0.573086,-0.041144,33,62,0.3474,38,57,0.4,281.12
22,13,95,0,-2.31,-7.83,5.52,-0.024316,0.505537,-0.048099,27,68,0.2842,41,54,0.4316,255.35
30,13,95,0,-2.36,-7.83,5.47,-0.024842,0.511697,-0.048548,26,69,0.2737,33,62,0.3474,279.45
31,13,95,0,-2.36,-7.83,5.47,-0.024842,0.511697,-0.048548,26,69,0.2737,33,62,0.3474,279.45
32,13,95,0,-2.36,-7.83,5.47,-0.024842,0.511697,-0.048548,26,69,0.2737,33,62,0.3474,279.45
33,13,95,0,-2.36,-7.83,5.47,-0.024842,0.511697,-0.048548,26,69,0.2737,33,62,0.3474,279.45
34,13,95,0,-2.36,-7.83,5.47,-0.024842,0.511697,-0.048548,26,69,0.2737,33,62,0.3474,279.45
23,12,95,0,-2.39,-7.83,5.44,-0.025158,0.502663,-0.050049,26,69,0.2737,41,54,0.4316,261.5
29,13,95,0,-2.4,-7.83,5.43,-0.025263,0.510994,-0.049439,26,69,0.2737,34,61,0.3579,277.39
22,11,95,0,-2.4,-7.83,5.43,-0.025263,0.494906,-0.051046,26,69,0.2737,44,51,0.4632,234.46
18,55,95,0,-2.41,-7.83,5.42,-0.025368,0.70964,-0.035748,38,57,0.4,35,60,0.3684,308.68
18,56,95,0,-2.43,-7.83,5.4,-0.025579,0.71016,-0.036019,38,57,0.4,35,60,0.3684,308.69
27,13,95,0,-2.43,-7.83,5.4,-0.025579,0.510487,-0.050107,26,69,0.2737,34,61,0.3579,276.76
28,13,95,0,-2.43,-7.83,5.4,-0.025579,0.510487,-0.050107,26,69,0.2737,34,61,0.3579,276.76
18,12,95,0,-2.43,-7.83,5.4,-0.025579,0.489508,-0.052254,28,67,0.2947,44,51,0.4632,239.57
21,13,95,0,-2.44,-7.83,5.39,-0.025684,0.504021,-0.050959,27,68,0.2842,41,54,0.4316,249.81
18,57,95,0,-2.48,-7.83,5.35,-0.026105,0.711478,-0.036692,38,57,0.4,35,60,0.3684,308.7
22,3,95,0,-2.48,-7.83,5.35,-0.026105,0.420965,-0.062013,20,75,0.2105,72,23,0.7579,132.99
26,13,95,0,-2.49,-7.83,5.34,-0.02621,0.509529,-0.051441,26,69,0.2737,34,61,0.3579,276.55
30,11,95,0,-2.49,-7.83,5.34,-0.02621,0.500647,-0.052353,25,70,0.2632,37,58,0.3895,256.91
31,11,95,0,-2.49,-7.83,5.34,-0.02621,0.500647,-0.052353,25,70,0.2632,37,58,0.3895,256.91
32,11,95,0,-2.49,-7.83,5.34,-0.02621,0.500647,-0.052353,25,70,0.2632,37,58,0.3895,256.91
33,11,95,0,-2.49,-7.83,5.34,-0.02621,0.500647,-0.052353,25,70,0.2632,37,58,0.3895,256.91
34,11,95,0,-2.49,-7.83,5.34,-0.02621,0.500647,-0.052353,25,70,0.2632,37,58,0.3895,256.91
21,11,95,0,-2.5,-7.83,5.33,-0.026316,0.49375,-0.053298,26,69,0.2737,44,51,0.4632,233.29
25,13,95,0,-2.52,-7.83,5.31,-0.026526,0.509215,-0.052093,26,69,0.2737,35,60,0.3684,275.96
29,11,95,0,-2.53,-7.83,5.3,-0.026632,0.499927,-0.053271,25,70,0.2632,38,57,0.4,254.86
19,13,95,0,-2.55,-7.83,5.28,-0.026842,0.495512,-0.05417,28,67,0.2947,42,53,0.4421,245.72
21,3,95,0,-2.55,-7.83,5.28,-0.026842,0.420069,-0.063899,20,75,0.2105,72,23,0.7579,132.03
27,11,95,0,-2.56,-7.83,5.27,-0.026947,0.499408,-0.053959,25,70,0.2632,38,57,0.4,254.23
28,11,95,0,-2.56,-7.83,5.27,-0.026947,0.499408,-0.053959,25,70,0.2632,38,57,0.4,254.23
