pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
12,13,95,0,-4.82,-7.83,3.01,-0.050737,0.430448,-0.11787,28,67,0.2947,46,49,0.4842,222.42
14,20,95,0,-4.83,-7.83,3.0,-0.050842,0.507894,-0.100104,30,65,0.3158,41,54,0.4316,257.31
17,45,95,0,-4.86,-7.83,2.97,-0.051158,0.680836,-0.07514,36,59,0.3789,37,58,0.3895,300.79
17,46,95,0,-4.86,-7.83,2.97,-0.051158,0.680836,-0.07514,36,59,0.3789,37,58,0.3895,300.79
17,47,95,0,-4.88,-7.83,2.95,-0.051368,0.68113,-0.075416,36,59,0.3789,37,58,0.3895,300.8
13,22,95,0,-4.88,-7.83,2.95,-0.051368,0.511493,-0.100428,31,64,0.3263,41,54,0.4316,257.46
16,59,95,0,-4.89,-7.83,2.94,-0.051474,0.725437,-0.070955,38,57,0.4,36,59,0.3789,306.26
16,15,95,0,-4.89,-7.83,2.94,-0.051474,0.472116,-0.109028,27,68,0.2842,40,55,0.4211,250.81
9,16,95,0,-4.89,-7.83,2.94,-0.051474,0.433253,-0.118807,31,64,0.3263,41,54,0.4316,227.88
20,56,95,0,-4.9,-7.83,2.93,-0.051579,0.737658,-0.069923,36,59,0.3789,31,64,0.3263,320.98
17,48,95,0,-4.9,-7.83,2.93,-0.051579,0.681429,-0.075692,36,59,0.3789,37,58,0.3895,300.8
16,24,95,0,-4.9,-7.83,2.93,-0.051579,0.543402,-0.094919,31,64,0.3263,39,56,0.4105,272.72
36,15,95,0,-4.9,-7.83,2.93,-0.051579,0.492562,-0.104716,24,71,0.2526,29,66,0.3053,291.71
19,15,95,0,-4.9,-7.83,2.93,-0.051579,0.477842,-0.107941,26,69,0.2737,38,57,0.4,256.8
16,18,95,0,-4.91,-7.83,2.92,-0.051684,0.488333,-0.105838,28,67,0.2947,39,56,0.4105,253.74
