pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
21,15,85,0,-1.7,-6.64,4.94,-0.02,0.499986,-0.040001,26,59,0.3059,36,49,0.4235,263.1
28,12,85,0,-1.7,-6.64,4.94,-0.02,0.494467,-0.040448,24,61,0.2824,36,49,0.4235,252.88
23,17,85,0,-1.71,-6.64,4.93,-0.020118,0.520159,-0.038676,26,59,0.3059,30,55,0.3529,285.17
19,59,85,0,-1.72,-6.64,4.92,-0.020235,0.745427,-0.027146,36,49,0.4235,29,56,0.3412,321.67
15,22,85,0,-1.72,-6.64,4.92,-0.020235,0.532744,-0.037983,31,54,0.3647,37,48,0.4353,268.27
25,18,85,0,-1.72,-6.64,4.92,-0.020235,0.523882,-0.038626,26,59,0.3059,28,57,0.3294,290.07
21,18,85,0,-1.72,-6.64,4.92,-0.020235,0.517137,-0.039129,27,58,0.3176,35,50,0.4118,266.38
21,12,85,0,-1.72,-6.64,4.92,-0.020235,0.486746,-0.041573,25,60,0.2941,42,43,0.4941,230.08
20,14,85,0,-1.73,-6.64,4.91,-0.020353,0.497023,-0.04095,26,59,0.3059,39,46,0.4588,248.8
26,12,85,0,-1.73,-6.64,4.91,-0.020353,0.493907,-0.041208,24,61,0.2824,36,49,0.4235,252.17
27,12,85,0,-1.73,-6.64,4.91,-0.020353,0.493907,-0.041208,24,61,0.2824,36,49,0.4235,252.17
23,14,85,0,-1.74,-6.64,4.9,-0.020471,0.503719,-0.040639,25,60,0.2941,34,51,0.4,274.11
17,13,85,0,-1.74,-6.64,4.9,-0.020471,0.480173,-0.042632,27,58,0.3176,41,44,0.4824,237.02
24,15,85,0,-1.75,-6.64,4.89,-0.020588,0.506389,-0.040657,25,60,0.2941,30,55,0.3529,286.14
28,56,85,0,-1.76,-6.64,4.88,-0.020706,0.759559,-0.02726,34,51,0.4,18,67,0.2118,363.02
13,63,85,0,-1.77,-6.64,4.87,-0.020823,0.701595,-0.02968,38,47,0.4471,36,49,0.4235,289.0
17,24,85,0,-1.77,-6.64,4.87,-0.020823,0.557636,-0.037342,31,54,0.3647,36,49,0.4235,274.13
38,16,85,0,-1.77,-6.64,4.87,-0.020823,0.524316,-0.039715,24,61,0.2824,25,60,0.2941,298.73
24,18,85,0,-1.77,-6.64,4.87,-0.020823,0.52333,-0.03979,26,59,0.3059,29,56,0.3412,289.41
16,49,85,0,-1.78,-6.64,4.86,-0.020941,0.674291,-0.031057,36,49,0.4235,36,49,0.4235,298.9
9,63,85,0,-1.79,-6.64,4.85,-0.021059,0.645156,-0.032641,40,45,0.4706,37,48,0.4353,267.99
17,31,85,0,-1.79,-6.64,4.85,-0.021059,0.614705,-0.034258,33,52,0.3882,36,49,0.4235,282.94
25,12,85,0,-1.79,-6.64,4.85,-0.021059,0.492849,-0.042729,24,61,0.2824,36,49,0.4235,251.94
20,12,85,0,-1.82,-6.64,4.82,-0.021412,0.485507,-0.044102,25,60,0.2941,42,43,0.4941,228.78
16,50,85,0,-1.83,-6.64,4.81,-0.021529,0.675679,-0.031863,36,49,0.4235,36,49,0.4235,298.91
16,51,85,0,-1.83,-6.64,4.81,-0.021529,0.675679,-0.031863,36,49,0.4235,36,49,0.4235,298.91
20,15,85,0,-1.83,-6.64,4.81,-0.021529,0.498368,-0.0432,26,59,0.3059,36,49,0.4235,256.9
19,60,85,0,-1.84,-6.64,4.8,-0.021647,0.749058,-0.028899,36,49,0.4235,29,56,0.3412,322.18
19,61,85,0,-1.84,-6.64,4.8,-0.021647,0.749058,-0.028899,36,49,0.4235,29,56,0.3412,322.18
19,62,85,0,-1.84,-6.64,4.8,-0.021647,0.749058,-0.028899,36,49,0.4235,29,56,0.3412,322.18
18,54,85,0,-1.84,-6.64,4.8,-0.021647,0.716717,-0.030203,36,49,0.4235,33,52,0.3882,307.82
15,23,85,0,-1.84,-6.64,4.8,-0.021647,0.534849,-0.040473,31,54,0.3647,37,48,0.4353,268.52
18,19,85,0,-1.84,-6.64,4.8,-0.021647,0.525527,-0.041191,29,56,0.3412,36,49,0.4235,257.96
23,15,85,0,-1.84,-6.64,4.8,-0.021647,0.505046,-0.042862,25,60,0.2941,31,54,0.3647,282.21
24,12,85,0,-1.84,-6.64,4.8,-0.021647,0.492261,-0.043975,24,61,0.2824,37,48,0.4353,251.28
15,16,85,0,-1.84,-6.64,4.8,-0.021647,0.487642,-0.044391,28,57,0.3294,37,48,0.4353,248.75
16,41,85,0,-1.85,-6.64,4.79,-0.021765,0.643543,-0.03382,35,50,0.4118,37,48,0.4353,290.36
20,18,85,0,-1.85,-6.64,4.79,-0.021765,0.515572,-0.042215,27,58,0.3176,35,50,0.4118,260.18
27,56,85,0,-1.86,-6.64,4.78,-0.021882,0.758309,-0.028857,34,51,0.4,19,66,0.2235,361.42
8,56,85,0,-1.86,-6.64,4.78,-0.021882,0.599638,-0.036493,40,45,0.4706,39,46,0.4588,260.04
17,25,85,0,-1.86,-6.64,4.78,-0.021882,0.559293,-0.039125,31,54,0.3647,36,49,0.4235,274.27
23,18,85,0,-1.86,-6.64,4.78,-0.021882,0.52203,-0.041918,26,59,0.3059,30,55,0.3529,285.49
18,17,85,0,-1.86,-6.64,4.78,-0.021882,0.504264,-0.043395,28,57,0.3294,36,49,0.4235,255.3
20,66,85,0,-1.87,-6.64,4.77,-0.022,0.775203,-0.02838,36,49,0.4235,26,59,0.3059,329.5
20,67,85,0,-1.87,-6.64,4.77,-0.022,0.775203,-0.02838,36,49,0.4235,26,59,0.3059,329.5
20,68,85,0,-1.87,-6.64,4.77,-0.022,0.775203,-0.02838,36,49,0.4235,26,59,0.3059,329.5
20,69,85,0,-1.87,-6.64,4.77,-0.022,0.775203,-0.02838,36,49,0.4235,26,59,0.3059,329.5
20,70,85,0,-1.87,-6.64,4.77,-0.022,0.775203,-0.02838,36,49,0.4235,26,59,0.3059,329.5
15,45,85,0,-1.88,-6.64,4.76,-0.022118,0.659686,-0.033527,36,49,0.4235,37,48,0.4353,291.99
15,46,85,0,-1.88,-6.64,4.76,-0.022118,0.659686,-0.033527,36,49,0.4235,37,48,0.4353,291.99
18,32,85,0,-1.88,-6.64,4.76,-0.022118,0.622753,-0.035516,33,52,0.3882,36,49,0.4235,284.65
20,65,85,0,-1.89,-6.64,4.75,-0.022235,0.775815,-0.028661,36,49,0.4235,28,57,0.3294,325.94
26,56,85,0,-1.89,-6.64,4.75,-0.022235,0.757952,-0.029336,34,51,0.4,19,66,0.2235,360.35
8,57,85,0,-1.89,-6.64,4.75,-0.022235,0.600687,-0.037016,40,45,0.4706,39,46,0.4588,260.05
17,27,85,0,-1.89,-6.64,4.75,-0.022235,0.591021,-0.037622,32,53,0.3765,36,49,0.4235,280.12
18,14,85,0,-1.89,-6.64,4.75,-0.022235,0.487287,-0.045631,27,58,0.3176,40,45,0.4706,244.24
