market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY072315-15,no,finalized,2026-05-08T03:15:14.951598Z,2026-05-08T03:15:00Z,2026-05-08T03:15:00Z,active,2026-05-07 23:08:08,2026-05-07 23:15:11,29,kalshi_api
KXBTC15M-26MAY072330-30,yes,finalized,2026-05-08T03:30:15.001543Z,2026-05-08T03:30:00Z,2026-05-08T03:30:00Z,active,2026-05-07 23:15:16,2026-05-07 23:30:05,59,kalshi_api
KXBTC15M-26MAY072345-45,yes,finalized,2026-05-08T03:45:14.999311Z,2026-05-08T03:45:00Z,2026-05-08T03:45:00Z,active,2026-05-07 23:30:15,2026-05-07 23:45:14,59,kalshi_api
KXBTC15M-26MAY080000-00,no,finalized,2026-05-08T04:00:29.097299Z,2026-05-08T04:00:00Z,2026-05-08T04:00:00Z,active,2026-05-07 23:45:15,2026-05-08 00:00:26,60,kalshi_api
KXBTC15M-26MAY080015-15,yes,finalized,2026-05-08T04:15:15.050893Z,2026-05-08T04:15:00Z,2026-05-08T04:15:00Z,active,2026-05-08 00:00:30,2026-05-08 00:14:26,54,kalshi_api
